group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53740158.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,51536527.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49140792.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,62713182.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53524014.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48700247.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48743858.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49339114.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53131550.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49041494.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48910510.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49175827.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49506053.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49186179.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,61968097.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49026063.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49112145.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,58870881.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49300889.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,55179530.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,55702542.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,52610618.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49390517.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,54200269.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53134293.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,52009470.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,50799972.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49321798.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49194607.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49048366.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49452743.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49087039.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49405825.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49071930.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57077322.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57842432.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48802375.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,58468829.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,59164965.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66470743.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48937829.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48886783.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57028190.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49478802.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49074312.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48993443.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,51207321.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49668584.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48960862.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49590260.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49373958.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66480511.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48702909.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49439259.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49159664.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48917331.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49000106.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66045687.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53728289.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48760426.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,54343473.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,58820256.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48850033.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48979965.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,50958905.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49203334.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,65966016.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49043705.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,63955875.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49019873.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,59133856.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,56533737.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49703580.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48934123.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49547709.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,58323099.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53779879.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48834073.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48631494.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57001493.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,64313673.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49884912.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48440948.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48383530.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49305473.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48808316.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66879071.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49753804.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49038786.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,55726266.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53943993.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48794660.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,63603357.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,58392065.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49120049.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49972584.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49482226.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57245493.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,56920892.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49460225.0,ns,9
