group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,10000,,,59800773.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56200463.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58375899.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56037919.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60917601.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60934342.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59635187.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61490162.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56944113.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60227751.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58117857.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,55920629.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60387300.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61001297.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59160907.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58355816.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59865514.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60398751.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61361231.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59712918.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58609607.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58605367.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58621279.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56463765.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61411495.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59668455.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58886956.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60314262.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59387040.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57928743.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59980889.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59906511.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60416144.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59504369.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57384564.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59609198.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60020624.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58960312.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59182517.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57250105.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58476087.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60528153.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60101906.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59239484.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59922521.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59768531.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59555527.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58638531.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57504781.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58976282.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59703650.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56756973.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60687671.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61194592.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60333499.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58821382.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58977845.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60657474.0,ns,4
