group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,100,,,1088990.0,ns,7
bench_medium_complex_query,sqlx_query_from_row,100,,,2440137.0,ns,14
bench_medium_complex_query,sqlx_query_from_row,100,,,3783841.0,ns,21
bench_medium_complex_query,sqlx_query_from_row,100,,,4210243.0,ns,28
bench_medium_complex_query,sqlx_query_from_row,100,,,5478199.0,ns,35
bench_medium_complex_query,sqlx_query_from_row,100,,,7610913.0,ns,42
bench_medium_complex_query,sqlx_query_from_row,100,,,7117164.0,ns,49
bench_medium_complex_query,sqlx_query_from_row,100,,,10130434.0,ns,56
bench_medium_complex_query,sqlx_query_from_row,100,,,9400310.0,ns,63
bench_medium_complex_query,sqlx_query_from_row,100,,,12591736.0,ns,70
bench_medium_complex_query,sqlx_query_from_row,100,,,11362002.0,ns,77
bench_medium_complex_query,sqlx_query_from_row,100,,,15043269.0,ns,84
bench_medium_complex_query,sqlx_query_from_row,100,,,13375581.0,ns,91
bench_medium_complex_query,sqlx_query_from_row,100,,,17287107.0,ns,98
bench_medium_complex_query,sqlx_query_from_row,100,,,15762268.0,ns,105
bench_medium_complex_query,sqlx_query_from_row,100,,,20297828.0,ns,112
bench_medium_complex_query,sqlx_query_from_row,100,,,17567399.0,ns,119
bench_medium_complex_query,sqlx_query_from_row,100,,,22401486.0,ns,126
bench_medium_complex_query,sqlx_query_from_row,100,,,19875944.0,ns,133
bench_medium_complex_query,sqlx_query_from_row,100,,,22107494.0,ns,140
bench_medium_complex_query,sqlx_query_from_row,100,,,26497836.0,ns,147
bench_medium_complex_query,sqlx_query_from_row,100,,,22803162.0,ns,154
bench_medium_complex_query,sqlx_query_from_row,100,,,27789030.0,ns,161
bench_medium_complex_query,sqlx_query_from_row,100,,,28057156.0,ns,168
bench_medium_complex_query,sqlx_query_from_row,100,,,31259657.0,ns,175
bench_medium_complex_query,sqlx_query_from_row,100,,,27057569.0,ns,182
bench_medium_complex_query,sqlx_query_from_row,100,,,29393685.0,ns,189
bench_medium_complex_query,sqlx_query_from_row,100,,,32999200.0,ns,196
bench_medium_complex_query,sqlx_query_from_row,100,,,31976909.0,ns,203
bench_medium_complex_query,sqlx_query_from_row,100,,,33254235.0,ns,210
bench_medium_complex_query,sqlx_query_from_row,100,,,35136394.0,ns,217
bench_medium_complex_query,sqlx_query_from_row,100,,,40397302.0,ns,224
bench_medium_complex_query,sqlx_query_from_row,100,,,33762516.0,ns,231
bench_medium_complex_query,sqlx_query_from_row,100,,,42405591.0,ns,238
bench_medium_complex_query,sqlx_query_from_row,100,,,38883825.0,ns,245
bench_medium_complex_query,sqlx_query_from_row,100,,,45147542.0,ns,252
bench_medium_complex_query,sqlx_query_from_row,100,,,37933365.0,ns,259
bench_medium_complex_query,sqlx_query_from_row,100,,,43495260.0,ns,266
bench_medium_complex_query,sqlx_query_from_row,100,,,45540543.0,ns,273
