group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,1,,,1067656.0,ns,340
bench_medium_complex_query,diesel,1,,,2012620.0,ns,680
bench_medium_complex_query,diesel,1,,,3013019.0,ns,1020
bench_medium_complex_query,diesel,1,,,3981798.0,ns,1360
bench_medium_complex_query,diesel,1,,,4997527.0,ns,1700
bench_medium_complex_query,diesel,1,,,5970364.0,ns,2040
bench_medium_complex_query,diesel,1,,,6949774.0,ns,2380
bench_medium_complex_query,diesel,1,,,8074155.0,ns,2720
bench_medium_complex_query,diesel,1,,,8995856.0,ns,3060
bench_medium_complex_query,diesel,1,,,9929049.0,ns,3400
bench_medium_complex_query,diesel,1,,,10961479.0,ns,3740
bench_medium_complex_query,diesel,1,,,11965794.0,ns,4080
bench_medium_complex_query,diesel,1,,,12915308.0,ns,4420
bench_medium_complex_query,diesel,1,,,13919935.0,ns,4760
bench_medium_complex_query,diesel,1,,,14986318.0,ns,5100
bench_medium_complex_query,diesel,1,,,15910614.0,ns,5440
bench_medium_complex_query,diesel,1,,,16960626.0,ns,5780
bench_medium_complex_query,diesel,1,,,17854906.0,ns,6120
bench_medium_complex_query,diesel,1,,,18841199.0,ns,6460
bench_medium_complex_query,diesel,1,,,19792134.0,ns,6800
bench_medium_complex_query,diesel,1,,,20760503.0,ns,7140
bench_medium_complex_query,diesel,1,,,22094759.0,ns,7480
bench_medium_complex_query,diesel,1,,,23672973.0,ns,7820
bench_medium_complex_query,diesel,1,,,24013002.0,ns,8160
bench_medium_complex_query,diesel,1,,,24905068.0,ns,8500
bench_medium_complex_query,diesel,1,,,25803645.0,ns,8840
bench_medium_complex_query,diesel,1,,,26779769.0,ns,9180
bench_medium_complex_query,diesel,1,,,28031270.0,ns,9520
bench_medium_complex_query,diesel,1,,,28945327.0,ns,9860
bench_medium_complex_query,diesel,1,,,30031777.0,ns,10200
bench_medium_complex_query,diesel,1,,,30860243.0,ns,10540
bench_medium_complex_query,diesel,1,,,31909714.0,ns,10880
bench_medium_complex_query,diesel,1,,,32994712.0,ns,11220
bench_medium_complex_query,diesel,1,,,34332365.0,ns,11560
bench_medium_complex_query,diesel,1,,,34764407.0,ns,11900
bench_medium_complex_query,diesel,1,,,35835958.0,ns,12240
bench_medium_complex_query,diesel,1,,,37009823.0,ns,12580
bench_medium_complex_query,diesel,1,,,38031613.0,ns,12920
bench_medium_complex_query,diesel,1,,,39182655.0,ns,13260
bench_medium_complex_query,diesel,1,,,39870076.0,ns,13600
bench_medium_complex_query,diesel,1,,,40880143.0,ns,13940
bench_medium_complex_query,diesel,1,,,41736040.0,ns,14280
bench_medium_complex_query,diesel,1,,,42631533.0,ns,14620
bench_medium_complex_query,diesel,1,,,43824594.0,ns,14960
bench_medium_complex_query,diesel,1,,,45049273.0,ns,15300
bench_medium_complex_query,diesel,1,,,45996623.0,ns,15640
bench_medium_complex_query,diesel,1,,,46913816.0,ns,15980
bench_medium_complex_query,diesel,1,,,47987433.0,ns,16320
