group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,tokio_postgres_by_id,1,,,1885629.0,ns,10
bench_medium_complex_query,tokio_postgres_by_id,1,,,2775422.0,ns,20
bench_medium_complex_query,tokio_postgres_by_id,1,,,3615597.0,ns,30
bench_medium_complex_query,tokio_postgres_by_id,1,,,4656875.0,ns,40
bench_medium_complex_query,tokio_postgres_by_id,1,,,5538774.0,ns,50
bench_medium_complex_query,tokio_postgres_by_id,1,,,6421527.0,ns,60
bench_medium_complex_query,tokio_postgres_by_id,1,,,7417920.0,ns,70
bench_medium_complex_query,tokio_postgres_by_id,1,,,8295994.0,ns,80
bench_medium_complex_query,tokio_postgres_by_id,1,,,9689157.0,ns,90
bench_medium_complex_query,tokio_postgres_by_id,1,,,10565346.0,ns,100
bench_medium_complex_query,tokio_postgres_by_id,1,,,11815463.0,ns,110
bench_medium_complex_query,tokio_postgres_by_id,1,,,12595321.0,ns,120
bench_medium_complex_query,tokio_postgres_by_id,1,,,13586496.0,ns,130
bench_medium_complex_query,tokio_postgres_by_id,1,,,14229012.0,ns,140
bench_medium_complex_query,tokio_postgres_by_id,1,,,15316815.0,ns,150
bench_medium_complex_query,tokio_postgres_by_id,1,,,16707933.0,ns,160
bench_medium_complex_query,tokio_postgres_by_id,1,,,17416041.0,ns,170
bench_medium_complex_query,tokio_postgres_by_id,1,,,18631794.0,ns,180
bench_medium_complex_query,tokio_postgres_by_id,1,,,19048719.0,ns,190
bench_medium_complex_query,tokio_postgres_by_id,1,,,20359909.0,ns,200
bench_medium_complex_query,tokio_postgres_by_id,1,,,21539724.0,ns,210
bench_medium_complex_query,tokio_postgres_by_id,1,,,23075399.0,ns,220
bench_medium_complex_query,tokio_postgres_by_id,1,,,22756933.0,ns,230
bench_medium_complex_query,tokio_postgres_by_id,1,,,23930874.0,ns,240
bench_medium_complex_query,tokio_postgres_by_id,1,,,25453322.0,ns,250
bench_medium_complex_query,tokio_postgres_by_id,1,,,26548266.0,ns,260
bench_medium_complex_query,tokio_postgres_by_id,1,,,27820597.0,ns,270
bench_medium_complex_query,tokio_postgres_by_id,1,,,28464884.0,ns,280
bench_medium_complex_query,tokio_postgres_by_id,1,,,29468834.0,ns,290
bench_medium_complex_query,tokio_postgres_by_id,1,,,30229109.0,ns,300
bench_medium_complex_query,tokio_postgres_by_id,1,,,31939400.0,ns,310
bench_medium_complex_query,tokio_postgres_by_id,1,,,32134484.0,ns,320
bench_medium_complex_query,tokio_postgres_by_id,1,,,33676522.0,ns,330
bench_medium_complex_query,tokio_postgres_by_id,1,,,34827347.0,ns,340
