group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10000,,,55887092.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55632686.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56398837.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55122596.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55064187.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50523968.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55502795.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50481749.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55030945.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54333323.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50246470.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,52950501.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55146921.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50716316.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50817725.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55788017.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50648570.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55430159.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50599588.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55295638.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55110874.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50446743.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55366390.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50036538.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55093140.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56642753.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55177603.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50204667.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55101230.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55263393.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50406154.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55966154.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50603522.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50436040.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55079590.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50438884.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55562381.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55580604.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50046155.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50525135.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55515833.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50383882.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55332592.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55355265.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50545324.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50225046.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55009470.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50822280.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55375602.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50327540.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54933428.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55494494.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50659887.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55773014.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55335848.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,49970882.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56107948.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50378482.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55920038.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56368504.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50385245.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55463616.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50449094.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55253334.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55526985.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55334936.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55996991.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50013831.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55437167.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55699136.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55663329.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50457650.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55338543.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56214197.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55226143.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50827961.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55560605.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55377336.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50348195.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55249137.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,105619453.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,52296219.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54212104.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55723451.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55113182.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50457002.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55604950.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55657087.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55646648.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,50241189.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55399446.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55284141.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55224150.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55835339.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55960643.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55227406.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55223839.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55151775.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55111129.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55404115.0,ns,8
