group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,100,,,1108375.0,ns,9
bench_trivial_query,diesel,100,,,2554049.0,ns,18
bench_trivial_query,diesel,100,,,2999619.0,ns,27
bench_trivial_query,diesel,100,,,4943742.0,ns,36
bench_trivial_query,diesel,100,,,4902134.0,ns,45
bench_trivial_query,diesel,100,,,7285094.0,ns,54
bench_trivial_query,diesel,100,,,6865271.0,ns,63
bench_trivial_query,diesel,100,,,9820969.0,ns,72
bench_trivial_query,diesel,100,,,10238304.0,ns,81
bench_trivial_query,diesel,100,,,9609154.0,ns,90
bench_trivial_query,diesel,100,,,13392904.0,ns,99
bench_trivial_query,diesel,100,,,14484218.0,ns,108
bench_trivial_query,diesel,100,,,12973964.0,ns,117
bench_trivial_query,diesel,100,,,13604819.0,ns,126
bench_trivial_query,diesel,100,,,18388502.0,ns,135
bench_trivial_query,diesel,100,,,15662663.0,ns,144
bench_trivial_query,diesel,100,,,20944685.0,ns,153
bench_trivial_query,diesel,100,,,17399289.0,ns,162
bench_trivial_query,diesel,100,,,17538479.0,ns,171
bench_trivial_query,diesel,100,,,23277892.0,ns,180
bench_trivial_query,diesel,100,,,20735354.0,ns,189
bench_trivial_query,diesel,100,,,26528269.0,ns,198
bench_trivial_query,diesel,100,,,22467939.0,ns,207
bench_trivial_query,diesel,100,,,29285546.0,ns,216
bench_trivial_query,diesel,100,,,24165333.0,ns,225
bench_trivial_query,diesel,100,,,25075021.0,ns,234
bench_trivial_query,diesel,100,,,26794334.0,ns,243
bench_trivial_query,diesel,100,,,32898558.0,ns,252
bench_trivial_query,diesel,100,,,28123464.0,ns,261
bench_trivial_query,diesel,100,,,36279899.0,ns,270
bench_trivial_query,diesel,100,,,30931373.0,ns,279
bench_trivial_query,diesel,100,,,38920508.0,ns,288
bench_trivial_query,diesel,100,,,38088741.0,ns,297
bench_trivial_query,diesel,100,,,33174251.0,ns,306
bench_trivial_query,diesel,100,,,42996653.0,ns,315
bench_trivial_query,diesel,100,,,34682810.0,ns,324
bench_trivial_query,diesel,100,,,40242640.0,ns,333
bench_trivial_query,diesel,100,,,37881680.0,ns,342
bench_trivial_query,diesel,100,,,38092306.0,ns,351
bench_trivial_query,diesel,100,,,38155826.0,ns,360
bench_trivial_query,diesel,100,,,42262889.0,ns,369
bench_trivial_query,diesel,100,,,51647051.0,ns,378
bench_trivial_query,diesel,100,,,43134738.0,ns,387
bench_trivial_query,diesel,100,,,44268863.0,ns,396
bench_trivial_query,diesel,100,,,51128280.0,ns,405
bench_trivial_query,diesel,100,,,48221989.0,ns,414
bench_trivial_query,diesel,100,,,57042553.0,ns,423
bench_trivial_query,diesel,100,,,46949791.0,ns,432
bench_trivial_query,diesel,100,,,48888541.0,ns,441
bench_trivial_query,diesel,100,,,53384992.0,ns,450
bench_trivial_query,diesel,100,,,54923321.0,ns,459
bench_trivial_query,diesel,100,,,61586635.0,ns,468
bench_trivial_query,diesel,100,,,62437246.0,ns,477
bench_trivial_query,diesel,100,,,53915668.0,ns,486
bench_trivial_query,diesel,100,,,64603505.0,ns,495
bench_trivial_query,diesel,100,,,67852937.0,ns,504
bench_trivial_query,diesel,100,,,55583936.0,ns,513
bench_trivial_query,diesel,100,,,70442862.0,ns,522
bench_trivial_query,diesel,100,,,57364050.0,ns,531
bench_trivial_query,diesel,100,,,58873465.0,ns,540
bench_trivial_query,diesel,100,,,74409813.0,ns,549
bench_trivial_query,diesel,100,,,60724224.0,ns,558
bench_trivial_query,diesel,100,,,61945629.0,ns,567
bench_trivial_query,diesel,100,,,62744184.0,ns,576
bench_trivial_query,diesel,100,,,70526347.0,ns,585
bench_trivial_query,diesel,100,,,64519375.0,ns,594
bench_trivial_query,diesel,100,,,76906201.0,ns,603
bench_trivial_query,diesel,100,,,65773782.0,ns,612
bench_trivial_query,diesel,100,,,77223784.0,ns,621
bench_trivial_query,diesel,100,,,74296643.0,ns,630
bench_trivial_query,diesel,100,,,85933185.0,ns,639
bench_trivial_query,diesel,100,,,70227079.0,ns,648
bench_trivial_query,diesel,100,,,87795484.0,ns,657
bench_trivial_query,diesel,100,,,71904602.0,ns,666
bench_trivial_query,diesel,100,,,90392743.0,ns,675
bench_trivial_query,diesel,100,,,73988685.0,ns,684
bench_trivial_query,diesel,100,,,93726976.0,ns,693
bench_trivial_query,diesel,100,,,75654205.0,ns,702
bench_trivial_query,diesel,100,,,87591988.0,ns,711
bench_trivial_query,diesel,100,,,77289228.0,ns,720
bench_trivial_query,diesel,100,,,92262480.0,ns,729
bench_trivial_query,diesel,100,,,83871169.0,ns,738
bench_trivial_query,diesel,100,,,83689366.0,ns,747
bench_trivial_query,diesel,100,,,81636428.0,ns,756
bench_trivial_query,diesel,100,,,92177722.0,ns,765
bench_trivial_query,diesel,100,,,84689928.0,ns,774
bench_trivial_query,diesel,100,,,84082205.0,ns,783
bench_trivial_query,diesel,100,,,105751671.0,ns,792
bench_trivial_query,diesel,100,,,90440345.0,ns,801
bench_trivial_query,diesel,100,,,88173558.0,ns,810
bench_trivial_query,diesel,100,,,89768130.0,ns,819
bench_trivial_query,diesel,100,,,89078996.0,ns,828
bench_trivial_query,diesel,100,,,98653986.0,ns,837
bench_trivial_query,diesel,100,,,96971181.0,ns,846
bench_trivial_query,diesel,100,,,91528890.0,ns,855
bench_trivial_query,diesel,100,,,103609209.0,ns,864
bench_trivial_query,diesel,100,,,95558092.0,ns,873
bench_trivial_query,diesel,100,,,94341491.0,ns,882
bench_trivial_query,diesel,100,,,120247283.0,ns,891
bench_trivial_query,diesel,100,,,107582285.0,ns,900
