group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async,100,,,2285332.0,ns,6
bench_medium_complex_query,diesel_async,100,,,3228130.0,ns,12
bench_medium_complex_query,diesel_async,100,,,4235669.0,ns,18
bench_medium_complex_query,diesel_async,100,,,5327816.0,ns,24
bench_medium_complex_query,diesel_async,100,,,6220942.0,ns,30
bench_medium_complex_query,diesel_async,100,,,7374351.0,ns,36
bench_medium_complex_query,diesel_async,100,,,8202658.0,ns,42
bench_medium_complex_query,diesel_async,100,,,9114792.0,ns,48
bench_medium_complex_query,diesel_async,100,,,9909520.0,ns,54
bench_medium_complex_query,diesel_async,100,,,11199617.0,ns,60
bench_medium_complex_query,diesel_async,100,,,12183782.0,ns,66
bench_medium_complex_query,diesel_async,100,,,13163776.0,ns,72
bench_medium_complex_query,diesel_async,100,,,14105576.0,ns,78
bench_medium_complex_query,diesel_async,100,,,15145576.0,ns,84
bench_medium_complex_query,diesel_async,100,,,16276324.0,ns,90
bench_medium_complex_query,diesel_async,100,,,16818305.0,ns,96
bench_medium_complex_query,diesel_async,100,,,18064178.0,ns,102
bench_medium_complex_query,diesel_async,100,,,18913823.0,ns,108
bench_medium_complex_query,diesel_async,100,,,20033861.0,ns,114
bench_medium_complex_query,diesel_async,100,,,21009642.0,ns,120
bench_medium_complex_query,diesel_async,100,,,21919047.0,ns,126
bench_medium_complex_query,diesel_async,100,,,23526736.0,ns,132
bench_medium_complex_query,diesel_async,100,,,24242370.0,ns,138
bench_medium_complex_query,diesel_async,100,,,25571730.0,ns,144
bench_medium_complex_query,diesel_async,100,,,26583139.0,ns,150
bench_medium_complex_query,diesel_async,100,,,27221266.0,ns,156
bench_medium_complex_query,diesel_async,100,,,29249558.0,ns,162
bench_medium_complex_query,diesel_async,100,,,29289665.0,ns,168
bench_medium_complex_query,diesel_async,100,,,30435209.0,ns,174
bench_medium_complex_query,diesel_async,100,,,31607776.0,ns,180
bench_medium_complex_query,diesel_async,100,,,31526605.0,ns,186
bench_medium_complex_query,diesel_async,100,,,32999772.0,ns,192
bench_medium_complex_query,diesel_async,100,,,35251862.0,ns,198
bench_medium_complex_query,diesel_async,100,,,35874923.0,ns,204
bench_medium_complex_query,diesel_async,100,,,36611938.0,ns,210
bench_medium_complex_query,diesel_async,100,,,37567210.0,ns,216
bench_medium_complex_query,diesel_async,100,,,39379770.0,ns,222
bench_medium_complex_query,diesel_async,100,,,39698417.0,ns,228
bench_medium_complex_query,diesel_async,100,,,40833882.0,ns,234
bench_medium_complex_query,diesel_async,100,,,41147959.0,ns,240
bench_medium_complex_query,diesel_async,100,,,42392859.0,ns,246
bench_medium_complex_query,diesel_async,100,,,43024417.0,ns,252
bench_medium_complex_query,diesel_async,100,,,44323465.0,ns,258
bench_medium_complex_query,diesel_async,100,,,45908541.0,ns,264
bench_medium_complex_query,diesel_async,100,,,46627116.0,ns,270
bench_medium_complex_query,diesel_async,100,,,48057324.0,ns,276
bench_medium_complex_query,diesel_async,100,,,49975681.0,ns,282
bench_medium_complex_query,diesel_async,100,,,49421426.0,ns,288
bench_medium_complex_query,diesel_async,100,,,51164037.0,ns,294
bench_medium_complex_query,diesel_async,100,,,52402733.0,ns,300
bench_medium_complex_query,diesel_async,100,,,53910611.0,ns,306
bench_medium_complex_query,diesel_async,100,,,53145313.0,ns,312
bench_medium_complex_query,diesel_async,100,,,54883963.0,ns,318
