group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,100,,,1211171.0,ns,8
bench_trivial_query,sqlx_query_as_macro,100,,,2197520.0,ns,16
bench_trivial_query,sqlx_query_as_macro,100,,,3827846.0,ns,24
bench_trivial_query,sqlx_query_as_macro,100,,,4404387.0,ns,32
bench_trivial_query,sqlx_query_as_macro,100,,,6469508.0,ns,40
bench_trivial_query,sqlx_query_as_macro,100,,,6397874.0,ns,48
bench_trivial_query,sqlx_query_as_macro,100,,,9003458.0,ns,56
bench_trivial_query,sqlx_query_as_macro,100,,,12960466.0,ns,64
bench_trivial_query,sqlx_query_as_macro,100,,,11588404.0,ns,72
bench_trivial_query,sqlx_query_as_macro,100,,,11758354.0,ns,80
bench_trivial_query,sqlx_query_as_macro,100,,,14282885.0,ns,88
bench_trivial_query,sqlx_query_as_macro,100,,,14738360.0,ns,96
bench_trivial_query,sqlx_query_as_macro,100,,,17021891.0,ns,104
bench_trivial_query,sqlx_query_as_macro,100,,,18203446.0,ns,112
bench_trivial_query,sqlx_query_as_macro,100,,,24195578.0,ns,120
bench_trivial_query,sqlx_query_as_macro,100,,,23587338.0,ns,128
bench_trivial_query,sqlx_query_as_macro,100,,,21968653.0,ns,136
bench_trivial_query,sqlx_query_as_macro,100,,,28838151.0,ns,144
bench_trivial_query,sqlx_query_as_macro,100,,,24481369.0,ns,152
bench_trivial_query,sqlx_query_as_macro,100,,,28390818.0,ns,160
bench_trivial_query,sqlx_query_as_macro,100,,,22375777.0,ns,168
bench_trivial_query,sqlx_query_as_macro,100,,,22808338.0,ns,176
bench_trivial_query,sqlx_query_as_macro,100,,,28397295.0,ns,184
bench_trivial_query,sqlx_query_as_macro,100,,,28459366.0,ns,192
bench_trivial_query,sqlx_query_as_macro,100,,,31170204.0,ns,200
bench_trivial_query,sqlx_query_as_macro,100,,,31868372.0,ns,208
bench_trivial_query,sqlx_query_as_macro,100,,,33459864.0,ns,216
bench_trivial_query,sqlx_query_as_macro,100,,,36364309.0,ns,224
bench_trivial_query,sqlx_query_as_macro,100,,,32209743.0,ns,232
bench_trivial_query,sqlx_query_as_macro,100,,,38558696.0,ns,240
bench_trivial_query,sqlx_query_as_macro,100,,,33328700.0,ns,248
bench_trivial_query,sqlx_query_as_macro,100,,,41027422.0,ns,256
bench_trivial_query,sqlx_query_as_macro,100,,,35379094.0,ns,264
bench_trivial_query,sqlx_query_as_macro,100,,,38926483.0,ns,272
bench_trivial_query,sqlx_query_as_macro,100,,,40848124.0,ns,280
bench_trivial_query,sqlx_query_as_macro,100,,,38631401.0,ns,288
bench_trivial_query,sqlx_query_as_macro,100,,,45456844.0,ns,296
bench_trivial_query,sqlx_query_as_macro,100,,,40830073.0,ns,304
bench_trivial_query,sqlx_query_as_macro,100,,,40804156.0,ns,312
bench_trivial_query,sqlx_query_as_macro,100,,,47157544.0,ns,320
bench_trivial_query,sqlx_query_as_macro,100,,,43301395.0,ns,328
bench_trivial_query,sqlx_query_as_macro,100,,,45036007.0,ns,336
bench_trivial_query,sqlx_query_as_macro,100,,,54814538.0,ns,344
bench_trivial_query,sqlx_query_as_macro,100,,,51717554.0,ns,352
bench_trivial_query,sqlx_query_as_macro,100,,,57263220.0,ns,360
bench_trivial_query,sqlx_query_as_macro,100,,,50082901.0,ns,368
bench_trivial_query,sqlx_query_as_macro,100,,,60186589.0,ns,376
bench_trivial_query,sqlx_query_as_macro,100,,,52580210.0,ns,384
bench_trivial_query,sqlx_query_as_macro,100,,,63666292.0,ns,392
bench_trivial_query,sqlx_query_as_macro,100,,,55014092.0,ns,400
bench_trivial_query,sqlx_query_as_macro,100,,,56292759.0,ns,408
bench_trivial_query,sqlx_query_as_macro,100,,,57478663.0,ns,416
bench_trivial_query,sqlx_query_as_macro,100,,,57902890.0,ns,424
bench_trivial_query,sqlx_query_as_macro,100,,,63784344.0,ns,432
bench_trivial_query,sqlx_query_as_macro,100,,,81882722.0,ns,440
bench_trivial_query,sqlx_query_as_macro,100,,,59930782.0,ns,448
bench_trivial_query,sqlx_query_as_macro,100,,,66384238.0,ns,456
bench_trivial_query,sqlx_query_as_macro,100,,,63043796.0,ns,464
bench_trivial_query,sqlx_query_as_macro,100,,,76956008.0,ns,472
bench_trivial_query,sqlx_query_as_macro,100,,,64376203.0,ns,480
bench_trivial_query,sqlx_query_as_macro,100,,,76561386.0,ns,488
bench_trivial_query,sqlx_query_as_macro,100,,,73331962.0,ns,496
bench_trivial_query,sqlx_query_as_macro,100,,,78236347.0,ns,504
bench_trivial_query,sqlx_query_as_macro,100,,,73280516.0,ns,512
bench_trivial_query,sqlx_query_as_macro,100,,,79325778.0,ns,520
bench_trivial_query,sqlx_query_as_macro,100,,,70450350.0,ns,528
bench_trivial_query,sqlx_query_as_macro,100,,,75520535.0,ns,536
bench_trivial_query,sqlx_query_as_macro,100,,,76680138.0,ns,544
bench_trivial_query,sqlx_query_as_macro,100,,,87029336.0,ns,552
bench_trivial_query,sqlx_query_as_macro,100,,,75253027.0,ns,560
bench_trivial_query,sqlx_query_as_macro,100,,,82001635.0,ns,568
bench_trivial_query,sqlx_query_as_macro,100,,,77652058.0,ns,576
bench_trivial_query,sqlx_query_as_macro,100,,,77630783.0,ns,584
bench_trivial_query,sqlx_query_as_macro,100,,,81847466.0,ns,592
bench_trivial_query,sqlx_query_as_macro,100,,,82859138.0,ns,600
bench_trivial_query,sqlx_query_as_macro,100,,,81380040.0,ns,608
bench_trivial_query,sqlx_query_as_macro,100,,,85820427.0,ns,616
bench_trivial_query,sqlx_query_as_macro,100,,,83022796.0,ns,624
bench_trivial_query,sqlx_query_as_macro,100,,,83274508.0,ns,632
bench_trivial_query,sqlx_query_as_macro,100,,,101171994.0,ns,640
bench_trivial_query,sqlx_query_as_macro,100,,,104728813.0,ns,648
bench_trivial_query,sqlx_query_as_macro,100,,,87422658.0,ns,656
bench_trivial_query,sqlx_query_as_macro,100,,,92637059.0,ns,664
bench_trivial_query,sqlx_query_as_macro,100,,,89717016.0,ns,672
bench_trivial_query,sqlx_query_as_macro,100,,,103547602.0,ns,680
bench_trivial_query,sqlx_query_as_macro,100,,,92538015.0,ns,688
bench_trivial_query,sqlx_query_as_macro,100,,,102257158.0,ns,696
bench_trivial_query,sqlx_query_as_macro,100,,,99113741.0,ns,704
bench_trivial_query,sqlx_query_as_macro,100,,,114711669.0,ns,712
bench_trivial_query,sqlx_query_as_macro,100,,,98995269.0,ns,720
bench_trivial_query,sqlx_query_as_macro,100,,,109162917.0,ns,728
bench_trivial_query,sqlx_query_as_macro,100,,,112465632.0,ns,736
bench_trivial_query,sqlx_query_as_macro,100,,,118292540.0,ns,744
bench_trivial_query,sqlx_query_as_macro,100,,,101450248.0,ns,752
bench_trivial_query,sqlx_query_as_macro,100,,,114175707.0,ns,760
bench_trivial_query,sqlx_query_as_macro,100,,,118803883.0,ns,768
bench_trivial_query,sqlx_query_as_macro,100,,,107014124.0,ns,776
bench_trivial_query,sqlx_query_as_macro,100,,,120177561.0,ns,784
bench_trivial_query,sqlx_query_as_macro,100,,,106297339.0,ns,792
bench_trivial_query,sqlx_query_as_macro,100,,,126722942.0,ns,800
