group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,zero_postgres_by_name,1,,,882902.0,ns,17
bench_trivial_query,zero_postgres_by_name,1,,,2279979.0,ns,34
bench_trivial_query,zero_postgres_by_name,1,,,2531686.0,ns,51
bench_trivial_query,zero_postgres_by_name,1,,,4499094.0,ns,68
bench_trivial_query,zero_postgres_by_name,1,,,4440966.0,ns,85
bench_trivial_query,zero_postgres_by_name,1,,,7074272.0,ns,102
bench_trivial_query,zero_postgres_by_name,1,,,6340557.0,ns,119
bench_trivial_query,zero_postgres_by_name,1,,,9210002.0,ns,136
bench_trivial_query,zero_postgres_by_name,1,,,7731093.0,ns,153
bench_trivial_query,zero_postgres_by_name,1,,,11912005.0,ns,170
bench_trivial_query,zero_postgres_by_name,1,,,9758561.0,ns,187
bench_trivial_query,zero_postgres_by_name,1,,,14232730.0,ns,204
bench_trivial_query,zero_postgres_by_name,1,,,11077433.0,ns,221
bench_trivial_query,zero_postgres_by_name,1,,,13056884.0,ns,238
bench_trivial_query,zero_postgres_by_name,1,,,17261299.0,ns,255
bench_trivial_query,zero_postgres_by_name,1,,,13598420.0,ns,272
bench_trivial_query,zero_postgres_by_name,1,,,19365101.0,ns,289
bench_trivial_query,zero_postgres_by_name,1,,,15301908.0,ns,306
bench_trivial_query,zero_postgres_by_name,1,,,21418541.0,ns,323
bench_trivial_query,zero_postgres_by_name,1,,,17633041.0,ns,340
bench_trivial_query,zero_postgres_by_name,1,,,18848240.0,ns,357
bench_trivial_query,zero_postgres_by_name,1,,,25850327.0,ns,374
bench_trivial_query,zero_postgres_by_name,1,,,20312623.0,ns,391
bench_trivial_query,zero_postgres_by_name,1,,,27673988.0,ns,408
bench_trivial_query,zero_postgres_by_name,1,,,20867735.0,ns,425
bench_trivial_query,zero_postgres_by_name,1,,,25814317.0,ns,442
bench_trivial_query,zero_postgres_by_name,1,,,29320448.0,ns,459
bench_trivial_query,zero_postgres_by_name,1,,,29729917.0,ns,476
bench_trivial_query,zero_postgres_by_name,1,,,33688680.0,ns,493
bench_trivial_query,zero_postgres_by_name,1,,,26723972.0,ns,510
bench_trivial_query,zero_postgres_by_name,1,,,27246813.0,ns,527
bench_trivial_query,zero_postgres_by_name,1,,,36432530.0,ns,544
bench_trivial_query,zero_postgres_by_name,1,,,29794429.0,ns,561
bench_trivial_query,zero_postgres_by_name,1,,,30219279.0,ns,578
bench_trivial_query,zero_postgres_by_name,1,,,34992538.0,ns,595
bench_trivial_query,zero_postgres_by_name,1,,,31082254.0,ns,612
bench_trivial_query,zero_postgres_by_name,1,,,35258260.0,ns,629
bench_trivial_query,zero_postgres_by_name,1,,,32349399.0,ns,646
bench_trivial_query,zero_postgres_by_name,1,,,40973779.0,ns,663
bench_trivial_query,zero_postgres_by_name,1,,,35522098.0,ns,680
bench_trivial_query,zero_postgres_by_name,1,,,43718435.0,ns,697
bench_trivial_query,zero_postgres_by_name,1,,,41719118.0,ns,714
bench_trivial_query,zero_postgres_by_name,1,,,36733971.0,ns,731
bench_trivial_query,zero_postgres_by_name,1,,,43042731.0,ns,748
bench_trivial_query,zero_postgres_by_name,1,,,40661262.0,ns,765
bench_trivial_query,zero_postgres_by_name,1,,,41188562.0,ns,782
bench_trivial_query,zero_postgres_by_name,1,,,41083654.0,ns,799
bench_trivial_query,zero_postgres_by_name,1,,,53096082.0,ns,816
bench_trivial_query,zero_postgres_by_name,1,,,44766223.0,ns,833
bench_trivial_query,zero_postgres_by_name,1,,,44324732.0,ns,850
bench_trivial_query,zero_postgres_by_name,1,,,45108426.0,ns,867
bench_trivial_query,zero_postgres_by_name,1,,,61295840.0,ns,884
bench_trivial_query,zero_postgres_by_name,1,,,50126377.0,ns,901
bench_trivial_query,zero_postgres_by_name,1,,,50037863.0,ns,918
bench_trivial_query,zero_postgres_by_name,1,,,54538767.0,ns,935
bench_trivial_query,zero_postgres_by_name,1,,,51795541.0,ns,952
bench_trivial_query,zero_postgres_by_name,1,,,66566280.0,ns,969
bench_trivial_query,zero_postgres_by_name,1,,,53329162.0,ns,986
bench_trivial_query,zero_postgres_by_name,1,,,59706217.0,ns,1003
bench_trivial_query,zero_postgres_by_name,1,,,53853717.0,ns,1020
bench_trivial_query,zero_postgres_by_name,1,,,55514506.0,ns,1037
bench_trivial_query,zero_postgres_by_name,1,,,55519243.0,ns,1054
bench_trivial_query,zero_postgres_by_name,1,,,53675897.0,ns,1071
bench_trivial_query,zero_postgres_by_name,1,,,76512584.0,ns,1088
bench_trivial_query,zero_postgres_by_name,1,,,62029059.0,ns,1105
bench_trivial_query,zero_postgres_by_name,1,,,59636560.0,ns,1122
bench_trivial_query,zero_postgres_by_name,1,,,80362367.0,ns,1139
bench_trivial_query,zero_postgres_by_name,1,,,70303017.0,ns,1156
bench_trivial_query,zero_postgres_by_name,1,,,62345914.0,ns,1173
bench_trivial_query,zero_postgres_by_name,1,,,76103498.0,ns,1190
bench_trivial_query,zero_postgres_by_name,1,,,65276340.0,ns,1207
bench_trivial_query,zero_postgres_by_name,1,,,66236560.0,ns,1224
bench_trivial_query,zero_postgres_by_name,1,,,86955986.0,ns,1241
bench_trivial_query,zero_postgres_by_name,1,,,74231523.0,ns,1258
bench_trivial_query,zero_postgres_by_name,1,,,76135851.0,ns,1275
bench_trivial_query,zero_postgres_by_name,1,,,69752574.0,ns,1292
bench_trivial_query,zero_postgres_by_name,1,,,75647397.0,ns,1309
bench_trivial_query,zero_postgres_by_name,1,,,70966470.0,ns,1326
bench_trivial_query,zero_postgres_by_name,1,,,82396262.0,ns,1343
bench_trivial_query,zero_postgres_by_name,1,,,72211896.0,ns,1360
bench_trivial_query,zero_postgres_by_name,1,,,96590277.0,ns,1377
bench_trivial_query,zero_postgres_by_name,1,,,82475714.0,ns,1394
bench_trivial_query,zero_postgres_by_name,1,,,76496804.0,ns,1411
bench_trivial_query,zero_postgres_by_name,1,,,78769963.0,ns,1428
bench_trivial_query,zero_postgres_by_name,1,,,77375067.0,ns,1445
bench_trivial_query,zero_postgres_by_name,1,,,80634547.0,ns,1462
bench_trivial_query,zero_postgres_by_name,1,,,85430680.0,ns,1479
bench_trivial_query,zero_postgres_by_name,1,,,81245840.0,ns,1496
bench_trivial_query,zero_postgres_by_name,1,,,82284070.0,ns,1513
bench_trivial_query,zero_postgres_by_name,1,,,81162495.0,ns,1530
bench_trivial_query,zero_postgres_by_name,1,,,83696026.0,ns,1547
bench_trivial_query,zero_postgres_by_name,1,,,99040725.0,ns,1564
bench_trivial_query,zero_postgres_by_name,1,,,84517293.0,ns,1581
bench_trivial_query,zero_postgres_by_name,1,,,96994678.0,ns,1598
bench_trivial_query,zero_postgres_by_name,1,,,86942971.0,ns,1615
bench_trivial_query,zero_postgres_by_name,1,,,95684943.0,ns,1632
bench_trivial_query,zero_postgres_by_name,1,,,87837080.0,ns,1649
bench_trivial_query,zero_postgres_by_name,1,,,90679802.0,ns,1666
bench_trivial_query,zero_postgres_by_name,1,,,101468138.0,ns,1683
bench_trivial_query,zero_postgres_by_name,1,,,105339831.0,ns,1700
