group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,wtx,50,,,1673319.0,ns,3
bench_insert,wtx,50,,,3226466.0,ns,6
bench_insert,wtx,50,,,4547296.0,ns,9
bench_insert,wtx,50,,,5766527.0,ns,12
bench_insert,wtx,50,,,10109791.0,ns,15
bench_insert,wtx,50,,,7880270.0,ns,18
bench_insert,wtx,50,,,12146150.0,ns,21
bench_insert,wtx,50,,,10677653.0,ns,24
bench_insert,wtx,50,,,17124403.0,ns,27
bench_insert,wtx,50,,,13665262.0,ns,30
bench_insert,wtx,50,,,16890845.0,ns,33
bench_insert,wtx,50,,,15233435.0,ns,36
bench_insert,wtx,50,,,16056185.0,ns,39
bench_insert,wtx,50,,,19177983.0,ns,42
bench_insert,wtx,50,,,19018742.0,ns,45
bench_insert,wtx,50,,,20199274.0,ns,48
bench_insert,wtx,50,,,25426510.0,ns,51
bench_insert,wtx,50,,,22053091.0,ns,54
bench_insert,wtx,50,,,24067600.0,ns,57
bench_insert,wtx,50,,,29133746.0,ns,60
bench_insert,wtx,50,,,26503455.0,ns,63
bench_insert,wtx,50,,,28434609.0,ns,66
bench_insert,wtx,50,,,29537892.0,ns,69
bench_insert,wtx,50,,,29796067.0,ns,72
bench_insert,wtx,50,,,31578281.0,ns,75
bench_insert,wtx,50,,,30678686.0,ns,78
bench_insert,wtx,50,,,35069718.0,ns,81
bench_insert,wtx,50,,,34745014.0,ns,84
bench_insert,wtx,50,,,41981111.0,ns,87
bench_insert,wtx,50,,,38509632.0,ns,90
bench_insert,wtx,50,,,39207828.0,ns,93
bench_insert,wtx,50,,,40060656.0,ns,96
bench_insert,wtx,50,,,44135100.0,ns,99
bench_insert,wtx,50,,,43921508.0,ns,102
bench_insert,wtx,50,,,49503027.0,ns,105
bench_insert,wtx,50,,,47605820.0,ns,108
bench_insert,wtx,50,,,45981812.0,ns,111
bench_insert,wtx,50,,,54376090.0,ns,114
bench_insert,wtx,50,,,50424152.0,ns,117
bench_insert,wtx,50,,,53074583.0,ns,120
bench_insert,wtx,50,,,57812188.0,ns,123
bench_insert,wtx,50,,,52901323.0,ns,126
bench_insert,wtx,50,,,58749474.0,ns,129
bench_insert,wtx,50,,,57028647.0,ns,132
bench_insert,wtx,50,,,67046631.0,ns,135
bench_insert,wtx,50,,,62575416.0,ns,138
bench_insert,wtx,50,,,64007273.0,ns,141
bench_insert,wtx,50,,,59488550.0,ns,144
bench_insert,wtx,50,,,66592174.0,ns,147
bench_insert,wtx,50,,,65589836.0,ns,150
bench_insert,wtx,50,,,67155904.0,ns,153
bench_insert,wtx,50,,,68453562.0,ns,156
bench_insert,wtx,50,,,68568457.0,ns,159
bench_insert,wtx,50,,,73138750.0,ns,162
bench_insert,wtx,50,,,69372614.0,ns,165
bench_insert,wtx,50,,,73090611.0,ns,168
bench_insert,wtx,50,,,74973231.0,ns,171
bench_insert,wtx,50,,,71449141.0,ns,174
bench_insert,wtx,50,,,74398490.0,ns,177
bench_insert,wtx,50,,,75769885.0,ns,180
bench_insert,wtx,50,,,75489951.0,ns,183
bench_insert,wtx,50,,,77772900.0,ns,186
bench_insert,wtx,50,,,76121011.0,ns,189
bench_insert,wtx,50,,,82227567.0,ns,192
bench_insert,wtx,50,,,83414715.0,ns,195
bench_insert,wtx,50,,,86115692.0,ns,198
bench_insert,wtx,50,,,89393366.0,ns,201
bench_insert,wtx,50,,,85750198.0,ns,204
bench_insert,wtx,50,,,87218728.0,ns,207
bench_insert,wtx,50,,,90585466.0,ns,210
bench_insert,wtx,50,,,90865927.0,ns,213
bench_insert,wtx,50,,,91748459.0,ns,216
bench_insert,wtx,50,,,96629187.0,ns,219
bench_insert,wtx,50,,,92303511.0,ns,222
bench_insert,wtx,50,,,97378924.0,ns,225
bench_insert,wtx,50,,,99597549.0,ns,228
bench_insert,wtx,50,,,103919042.0,ns,231
bench_insert,wtx,50,,,109157415.0,ns,234
bench_insert,wtx,50,,,100632627.0,ns,237
bench_insert,wtx,50,,,105133948.0,ns,240
bench_insert,wtx,50,,,111693765.0,ns,243
bench_insert,wtx,50,,,118661715.0,ns,246
bench_insert,wtx,50,,,119210115.0,ns,249
bench_insert,wtx,50,,,125594762.0,ns,252
bench_insert,wtx,50,,,126742310.0,ns,255
bench_insert,wtx,50,,,116147363.0,ns,258
bench_insert,wtx,50,,,111340468.0,ns,261
bench_insert,wtx,50,,,116687558.0,ns,264
bench_insert,wtx,50,,,116786842.0,ns,267
bench_insert,wtx,50,,,112534715.0,ns,270
bench_insert,wtx,50,,,116374149.0,ns,273
bench_insert,wtx,50,,,119293163.0,ns,276
bench_insert,wtx,50,,,121048832.0,ns,279
bench_insert,wtx,50,,,128771946.0,ns,282
bench_insert,wtx,50,,,122951135.0,ns,285
bench_insert,wtx,50,,,123510943.0,ns,288
bench_insert,wtx,50,,,131484151.0,ns,291
bench_insert,wtx,50,,,121512045.0,ns,294
bench_insert,wtx,50,,,126567776.0,ns,297
bench_insert,wtx,50,,,128967262.0,ns,300
