group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_queryable_by_name,1000,,,2304765.0,ns,2
bench_trivial_query,diesel_queryable_by_name,1000,,,4485228.0,ns,4
bench_trivial_query,diesel_queryable_by_name,1000,,,6068371.0,ns,6
bench_trivial_query,diesel_queryable_by_name,1000,,,7879728.0,ns,8
bench_trivial_query,diesel_queryable_by_name,1000,,,11159635.0,ns,10
bench_trivial_query,diesel_queryable_by_name,1000,,,12243930.0,ns,12
bench_trivial_query,diesel_queryable_by_name,1000,,,13877878.0,ns,14
bench_trivial_query,diesel_queryable_by_name,1000,,,15771067.0,ns,16
bench_trivial_query,diesel_queryable_by_name,1000,,,17534657.0,ns,18
bench_trivial_query,diesel_queryable_by_name,1000,,,21941548.0,ns,20
bench_trivial_query,diesel_queryable_by_name,1000,,,22552714.0,ns,22
bench_trivial_query,diesel_queryable_by_name,1000,,,23175674.0,ns,24
bench_trivial_query,diesel_queryable_by_name,1000,,,24785535.0,ns,26
bench_trivial_query,diesel_queryable_by_name,1000,,,27444878.0,ns,28
bench_trivial_query,diesel_queryable_by_name,1000,,,32558445.0,ns,30
bench_trivial_query,diesel_queryable_by_name,1000,,,31888251.0,ns,32
bench_trivial_query,diesel_queryable_by_name,1000,,,34101944.0,ns,34
bench_trivial_query,diesel_queryable_by_name,1000,,,37391138.0,ns,36
bench_trivial_query,diesel_queryable_by_name,1000,,,41264068.0,ns,38
bench_trivial_query,diesel_queryable_by_name,1000,,,41110414.0,ns,40
bench_trivial_query,diesel_queryable_by_name,1000,,,43831510.0,ns,42
bench_trivial_query,diesel_queryable_by_name,1000,,,46138297.0,ns,44
bench_trivial_query,diesel_queryable_by_name,1000,,,49867822.0,ns,46
bench_trivial_query,diesel_queryable_by_name,1000,,,53978023.0,ns,48
bench_trivial_query,diesel_queryable_by_name,1000,,,53694577.0,ns,50
bench_trivial_query,diesel_queryable_by_name,1000,,,55260257.0,ns,52
bench_trivial_query,diesel_queryable_by_name,1000,,,52488804.0,ns,54
bench_trivial_query,diesel_queryable_by_name,1000,,,55512888.0,ns,56
bench_trivial_query,diesel_queryable_by_name,1000,,,60240620.0,ns,58
bench_trivial_query,diesel_queryable_by_name,1000,,,58153565.0,ns,60
bench_trivial_query,diesel_queryable_by_name,1000,,,59698406.0,ns,62
bench_trivial_query,diesel_queryable_by_name,1000,,,65389977.0,ns,64
bench_trivial_query,diesel_queryable_by_name,1000,,,64363837.0,ns,66
bench_trivial_query,diesel_queryable_by_name,1000,,,70544703.0,ns,68
bench_trivial_query,diesel_queryable_by_name,1000,,,67718716.0,ns,70
bench_trivial_query,diesel_queryable_by_name,1000,,,70317739.0,ns,72
bench_trivial_query,diesel_queryable_by_name,1000,,,79795356.0,ns,74
bench_trivial_query,diesel_queryable_by_name,1000,,,81494635.0,ns,76
bench_trivial_query,diesel_queryable_by_name,1000,,,76240846.0,ns,78
bench_trivial_query,diesel_queryable_by_name,1000,,,83285868.0,ns,80
bench_trivial_query,diesel_queryable_by_name,1000,,,87978988.0,ns,82
bench_trivial_query,diesel_queryable_by_name,1000,,,85685022.0,ns,84
bench_trivial_query,diesel_queryable_by_name,1000,,,87160036.0,ns,86
bench_trivial_query,diesel_queryable_by_name,1000,,,90049500.0,ns,88
bench_trivial_query,diesel_queryable_by_name,1000,,,96335784.0,ns,90
bench_trivial_query,diesel_queryable_by_name,1000,,,90477063.0,ns,92
bench_trivial_query,diesel_queryable_by_name,1000,,,98105885.0,ns,94
bench_trivial_query,diesel_queryable_by_name,1000,,,93037800.0,ns,96
bench_trivial_query,diesel_queryable_by_name,1000,,,95297746.0,ns,98
bench_trivial_query,diesel_queryable_by_name,1000,,,105055278.0,ns,100
bench_trivial_query,diesel_queryable_by_name,1000,,,103288921.0,ns,102
bench_trivial_query,diesel_queryable_by_name,1000,,,99672988.0,ns,104
bench_trivial_query,diesel_queryable_by_name,1000,,,102809287.0,ns,106
bench_trivial_query,diesel_queryable_by_name,1000,,,115406946.0,ns,108
bench_trivial_query,diesel_queryable_by_name,1000,,,106401837.0,ns,110
bench_trivial_query,diesel_queryable_by_name,1000,,,116651449.0,ns,112
bench_trivial_query,diesel_queryable_by_name,1000,,,111329563.0,ns,114
bench_trivial_query,diesel_queryable_by_name,1000,,,112270590.0,ns,116
bench_trivial_query,diesel_queryable_by_name,1000,,,119939402.0,ns,118
bench_trivial_query,diesel_queryable_by_name,1000,,,118506618.0,ns,120
bench_trivial_query,diesel_queryable_by_name,1000,,,126588795.0,ns,122
bench_trivial_query,diesel_queryable_by_name,1000,,,129971519.0,ns,124
bench_trivial_query,diesel_queryable_by_name,1000,,,126319983.0,ns,126
bench_trivial_query,diesel_queryable_by_name,1000,,,132337857.0,ns,128
bench_trivial_query,diesel_queryable_by_name,1000,,,127369162.0,ns,130
bench_trivial_query,diesel_queryable_by_name,1000,,,131331039.0,ns,132
bench_trivial_query,diesel_queryable_by_name,1000,,,131305250.0,ns,134
bench_trivial_query,diesel_queryable_by_name,1000,,,136705358.0,ns,136
bench_trivial_query,diesel_queryable_by_name,1000,,,143614732.0,ns,138
bench_trivial_query,diesel_queryable_by_name,1000,,,142569430.0,ns,140
bench_trivial_query,diesel_queryable_by_name,1000,,,133194403.0,ns,142
bench_trivial_query,diesel_queryable_by_name,1000,,,136619487.0,ns,144
bench_trivial_query,diesel_queryable_by_name,1000,,,140177590.0,ns,146
bench_trivial_query,diesel_queryable_by_name,1000,,,145718476.0,ns,148
bench_trivial_query,diesel_queryable_by_name,1000,,,149003530.0,ns,150
bench_trivial_query,diesel_queryable_by_name,1000,,,144007060.0,ns,152
bench_trivial_query,diesel_queryable_by_name,1000,,,143704878.0,ns,154
bench_trivial_query,diesel_queryable_by_name,1000,,,147222511.0,ns,156
bench_trivial_query,diesel_queryable_by_name,1000,,,167088698.0,ns,158
bench_trivial_query,diesel_queryable_by_name,1000,,,149578800.0,ns,160
