group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,10,,,1080053.0,ns,162
bench_medium_complex_query,diesel_boxed,10,,,2051364.0,ns,324
bench_medium_complex_query,diesel_boxed,10,,,3059873.0,ns,486
bench_medium_complex_query,diesel_boxed,10,,,3991660.0,ns,648
bench_medium_complex_query,diesel_boxed,10,,,5121426.0,ns,810
bench_medium_complex_query,diesel_boxed,10,,,6057350.0,ns,972
bench_medium_complex_query,diesel_boxed,10,,,7270472.0,ns,1134
bench_medium_complex_query,diesel_boxed,10,,,7939359.0,ns,1296
bench_medium_complex_query,diesel_boxed,10,,,9044288.0,ns,1458
bench_medium_complex_query,diesel_boxed,10,,,9990201.0,ns,1620
bench_medium_complex_query,diesel_boxed,10,,,11312657.0,ns,1782
bench_medium_complex_query,diesel_boxed,10,,,11961796.0,ns,1944
bench_medium_complex_query,diesel_boxed,10,,,13093155.0,ns,2106
bench_medium_complex_query,diesel_boxed,10,,,13930015.0,ns,2268
bench_medium_complex_query,diesel_boxed,10,,,15230599.0,ns,2430
bench_medium_complex_query,diesel_boxed,10,,,16025181.0,ns,2592
bench_medium_complex_query,diesel_boxed,10,,,16969842.0,ns,2754
bench_medium_complex_query,diesel_boxed,10,,,18078187.0,ns,2916
bench_medium_complex_query,diesel_boxed,10,,,18857180.0,ns,3078
bench_medium_complex_query,diesel_boxed,10,,,20309626.0,ns,3240
bench_medium_complex_query,diesel_boxed,10,,,21309220.0,ns,3402
bench_medium_complex_query,diesel_boxed,10,,,21969631.0,ns,3564
bench_medium_complex_query,diesel_boxed,10,,,23030999.0,ns,3726
bench_medium_complex_query,diesel_boxed,10,,,24004964.0,ns,3888
bench_medium_complex_query,diesel_boxed,10,,,24620422.0,ns,4050
bench_medium_complex_query,diesel_boxed,10,,,25846677.0,ns,4212
bench_medium_complex_query,diesel_boxed,10,,,27003463.0,ns,4374
bench_medium_complex_query,diesel_boxed,10,,,27767237.0,ns,4536
bench_medium_complex_query,diesel_boxed,10,,,28354712.0,ns,4698
bench_medium_complex_query,diesel_boxed,10,,,30077273.0,ns,4860
bench_medium_complex_query,diesel_boxed,10,,,30930773.0,ns,5022
bench_medium_complex_query,diesel_boxed,10,,,31885864.0,ns,5184
bench_medium_complex_query,diesel_boxed,10,,,32554461.0,ns,5346
bench_medium_complex_query,diesel_boxed,10,,,33922210.0,ns,5508
bench_medium_complex_query,diesel_boxed,10,,,35118429.0,ns,5670
bench_medium_complex_query,diesel_boxed,10,,,36701890.0,ns,5832
bench_medium_complex_query,diesel_boxed,10,,,37245994.0,ns,5994
