group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,diesel_async,10,,,908409.0,ns,3
bench_insert,diesel_async,10,,,1505503.0,ns,6
bench_insert,diesel_async,10,,,2197712.0,ns,9
bench_insert,diesel_async,10,,,2942196.0,ns,12
bench_insert,diesel_async,10,,,3746020.0,ns,15
bench_insert,diesel_async,10,,,4462821.0,ns,18
bench_insert,diesel_async,10,,,6191775.0,ns,21
bench_insert,diesel_async,10,,,5903256.0,ns,24
bench_insert,diesel_async,10,,,7408472.0,ns,27
bench_insert,diesel_async,10,,,7394476.0,ns,30
bench_insert,diesel_async,10,,,9302153.0,ns,33
bench_insert,diesel_async,10,,,9441436.0,ns,36
bench_insert,diesel_async,10,,,11467376.0,ns,39
bench_insert,diesel_async,10,,,12778777.0,ns,42
bench_insert,diesel_async,10,,,12064299.0,ns,45
bench_insert,diesel_async,10,,,12853694.0,ns,48
bench_insert,diesel_async,10,,,13684735.0,ns,51
bench_insert,diesel_async,10,,,18271207.0,ns,54
bench_insert,diesel_async,10,,,19729225.0,ns,57
bench_insert,diesel_async,10,,,19476793.0,ns,60
bench_insert,diesel_async,10,,,18567209.0,ns,63
bench_insert,diesel_async,10,,,20105976.0,ns,66
bench_insert,diesel_async,10,,,21066718.0,ns,69
bench_insert,diesel_async,10,,,21302519.0,ns,72
bench_insert,diesel_async,10,,,22188390.0,ns,75
bench_insert,diesel_async,10,,,23257436.0,ns,78
bench_insert,diesel_async,10,,,25445755.0,ns,81
bench_insert,diesel_async,10,,,28571189.0,ns,84
bench_insert,diesel_async,10,,,27244820.0,ns,87
bench_insert,diesel_async,10,,,34960421.0,ns,90
bench_insert,diesel_async,10,,,29896078.0,ns,93
bench_insert,diesel_async,10,,,30788268.0,ns,96
bench_insert,diesel_async,10,,,37007544.0,ns,99
bench_insert,diesel_async,10,,,36204555.0,ns,102
bench_insert,diesel_async,10,,,37699238.0,ns,105
bench_insert,diesel_async,10,,,32649237.0,ns,108
bench_insert,diesel_async,10,,,39039927.0,ns,111
bench_insert,diesel_async,10,,,36735686.0,ns,114
bench_insert,diesel_async,10,,,35789255.0,ns,117
bench_insert,diesel_async,10,,,46285634.0,ns,120
bench_insert,diesel_async,10,,,35675787.0,ns,123
bench_insert,diesel_async,10,,,41688357.0,ns,126
bench_insert,diesel_async,10,,,42203155.0,ns,129
bench_insert,diesel_async,10,,,40636194.0,ns,132
bench_insert,diesel_async,10,,,45190396.0,ns,135
bench_insert,diesel_async,10,,,44927824.0,ns,138
bench_insert,diesel_async,10,,,47948343.0,ns,141
bench_insert,diesel_async,10,,,54381210.0,ns,144
bench_insert,diesel_async,10,,,50030852.0,ns,147
bench_insert,diesel_async,10,,,53007471.0,ns,150
bench_insert,diesel_async,10,,,53050382.0,ns,153
bench_insert,diesel_async,10,,,58883395.0,ns,156
bench_insert,diesel_async,10,,,50615592.0,ns,159
bench_insert,diesel_async,10,,,53125322.0,ns,162
bench_insert,diesel_async,10,,,65449379.0,ns,165
bench_insert,diesel_async,10,,,60351941.0,ns,168
bench_insert,diesel_async,10,,,64940980.0,ns,171
bench_insert,diesel_async,10,,,55643684.0,ns,174
bench_insert,diesel_async,10,,,65741703.0,ns,177
bench_insert,diesel_async,10,,,67658425.0,ns,180
bench_insert,diesel_async,10,,,78075646.0,ns,183
bench_insert,diesel_async,10,,,59045911.0,ns,186
bench_insert,diesel_async,10,,,73816141.0,ns,189
bench_insert,diesel_async,10,,,65461170.0,ns,192
bench_insert,diesel_async,10,,,63915014.0,ns,195
bench_insert,diesel_async,10,,,80673591.0,ns,198
bench_insert,diesel_async,10,,,67829034.0,ns,201
bench_insert,diesel_async,10,,,77324802.0,ns,204
bench_insert,diesel_async,10,,,73519141.0,ns,207
bench_insert,diesel_async,10,,,84461435.0,ns,210
bench_insert,diesel_async,10,,,75046996.0,ns,213
bench_insert,diesel_async,10,,,74824394.0,ns,216
bench_insert,diesel_async,10,,,78580481.0,ns,219
bench_insert,diesel_async,10,,,93231334.0,ns,222
bench_insert,diesel_async,10,,,93409597.0,ns,225
bench_insert,diesel_async,10,,,98347269.0,ns,228
bench_insert,diesel_async,10,,,83252753.0,ns,231
bench_insert,diesel_async,10,,,100526995.0,ns,234
bench_insert,diesel_async,10,,,80852705.0,ns,237
bench_insert,diesel_async,10,,,85769733.0,ns,240
bench_insert,diesel_async,10,,,90937699.0,ns,243
bench_insert,diesel_async,10,,,94688508.0,ns,246
bench_insert,diesel_async,10,,,85866878.0,ns,249
bench_insert,diesel_async,10,,,103538584.0,ns,252
bench_insert,diesel_async,10,,,94148264.0,ns,255
bench_insert,diesel_async,10,,,88692742.0,ns,258
bench_insert,diesel_async,10,,,103556552.0,ns,261
bench_insert,diesel_async,10,,,101226957.0,ns,264
bench_insert,diesel_async,10,,,108805933.0,ns,267
bench_insert,diesel_async,10,,,110464854.0,ns,270
bench_insert,diesel_async,10,,,108308167.0,ns,273
bench_insert,diesel_async,10,,,110150044.0,ns,276
bench_insert,diesel_async,10,,,101032474.0,ns,279
bench_insert,diesel_async,10,,,100089698.0,ns,282
bench_insert,diesel_async,10,,,114854190.0,ns,285
bench_insert,diesel_async,10,,,105388311.0,ns,288
bench_insert,diesel_async,10,,,114167374.0,ns,291
bench_insert,diesel_async,10,,,101225839.0,ns,294
bench_insert,diesel_async,10,,,126881883.0,ns,297
bench_insert,diesel_async,10,,,119722503.0,ns,300
