group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,wtx,1000,,,1052437.0,ns,3
bench_trivial_query,wtx,1000,,,2345144.0,ns,6
bench_trivial_query,wtx,1000,,,3283238.0,ns,9
bench_trivial_query,wtx,1000,,,4652258.0,ns,12
bench_trivial_query,wtx,1000,,,6084355.0,ns,15
bench_trivial_query,wtx,1000,,,5285191.0,ns,18
bench_trivial_query,wtx,1000,,,7594289.0,ns,21
bench_trivial_query,wtx,1000,,,8618935.0,ns,24
bench_trivial_query,wtx,1000,,,10904367.0,ns,27
bench_trivial_query,wtx,1000,,,10779708.0,ns,30
bench_trivial_query,wtx,1000,,,9782239.0,ns,33
bench_trivial_query,wtx,1000,,,12696676.0,ns,36
bench_trivial_query,wtx,1000,,,15254165.0,ns,39
bench_trivial_query,wtx,1000,,,13979808.0,ns,42
bench_trivial_query,wtx,1000,,,17619084.0,ns,45
bench_trivial_query,wtx,1000,,,18491108.0,ns,48
bench_trivial_query,wtx,1000,,,19596551.0,ns,51
bench_trivial_query,wtx,1000,,,19539089.0,ns,54
bench_trivial_query,wtx,1000,,,22288662.0,ns,57
bench_trivial_query,wtx,1000,,,17784070.0,ns,60
bench_trivial_query,wtx,1000,,,18428405.0,ns,63
bench_trivial_query,wtx,1000,,,25732882.0,ns,66
bench_trivial_query,wtx,1000,,,25069542.0,ns,69
bench_trivial_query,wtx,1000,,,23878601.0,ns,72
bench_trivial_query,wtx,1000,,,27131505.0,ns,75
bench_trivial_query,wtx,1000,,,26380994.0,ns,78
bench_trivial_query,wtx,1000,,,29163346.0,ns,81
bench_trivial_query,wtx,1000,,,24932956.0,ns,84
bench_trivial_query,wtx,1000,,,28669973.0,ns,87
bench_trivial_query,wtx,1000,,,29921072.0,ns,90
bench_trivial_query,wtx,1000,,,32004685.0,ns,93
bench_trivial_query,wtx,1000,,,31614631.0,ns,96
bench_trivial_query,wtx,1000,,,39594168.0,ns,99
bench_trivial_query,wtx,1000,,,39219910.0,ns,102
bench_trivial_query,wtx,1000,,,41738537.0,ns,105
bench_trivial_query,wtx,1000,,,31646999.0,ns,108
bench_trivial_query,wtx,1000,,,43796705.0,ns,111
bench_trivial_query,wtx,1000,,,39506300.0,ns,114
bench_trivial_query,wtx,1000,,,34574523.0,ns,117
bench_trivial_query,wtx,1000,,,35190755.0,ns,120
bench_trivial_query,wtx,1000,,,49073732.0,ns,123
bench_trivial_query,wtx,1000,,,39176910.0,ns,126
bench_trivial_query,wtx,1000,,,47440254.0,ns,129
bench_trivial_query,wtx,1000,,,39737837.0,ns,132
bench_trivial_query,wtx,1000,,,40384606.0,ns,135
bench_trivial_query,wtx,1000,,,50423528.0,ns,138
bench_trivial_query,wtx,1000,,,47105919.0,ns,141
bench_trivial_query,wtx,1000,,,43118037.0,ns,144
bench_trivial_query,wtx,1000,,,57874542.0,ns,147
bench_trivial_query,wtx,1000,,,53452558.0,ns,150
bench_trivial_query,wtx,1000,,,48957525.0,ns,153
bench_trivial_query,wtx,1000,,,55467135.0,ns,156
bench_trivial_query,wtx,1000,,,63343101.0,ns,159
bench_trivial_query,wtx,1000,,,49484790.0,ns,162
bench_trivial_query,wtx,1000,,,66392932.0,ns,165
bench_trivial_query,wtx,1000,,,57710335.0,ns,168
bench_trivial_query,wtx,1000,,,61027040.0,ns,171
bench_trivial_query,wtx,1000,,,52500120.0,ns,174
bench_trivial_query,wtx,1000,,,67390469.0,ns,177
bench_trivial_query,wtx,1000,,,53920934.0,ns,180
bench_trivial_query,wtx,1000,,,65086350.0,ns,183
bench_trivial_query,wtx,1000,,,68096016.0,ns,186
bench_trivial_query,wtx,1000,,,56734314.0,ns,189
bench_trivial_query,wtx,1000,,,72881610.0,ns,192
bench_trivial_query,wtx,1000,,,58466284.0,ns,195
bench_trivial_query,wtx,1000,,,65925752.0,ns,198
bench_trivial_query,wtx,1000,,,71853903.0,ns,201
bench_trivial_query,wtx,1000,,,62533224.0,ns,204
bench_trivial_query,wtx,1000,,,61600412.0,ns,207
bench_trivial_query,wtx,1000,,,81255165.0,ns,210
bench_trivial_query,wtx,1000,,,75814003.0,ns,213
bench_trivial_query,wtx,1000,,,67016892.0,ns,216
bench_trivial_query,wtx,1000,,,75072919.0,ns,219
bench_trivial_query,wtx,1000,,,82473993.0,ns,222
bench_trivial_query,wtx,1000,,,67921242.0,ns,225
bench_trivial_query,wtx,1000,,,79995808.0,ns,228
bench_trivial_query,wtx,1000,,,81032487.0,ns,231
bench_trivial_query,wtx,1000,,,86767560.0,ns,234
bench_trivial_query,wtx,1000,,,78977227.0,ns,237
bench_trivial_query,wtx,1000,,,72884276.0,ns,240
bench_trivial_query,wtx,1000,,,87087836.0,ns,243
bench_trivial_query,wtx,1000,,,89809406.0,ns,246
bench_trivial_query,wtx,1000,,,90198250.0,ns,249
bench_trivial_query,wtx,1000,,,79094187.0,ns,252
bench_trivial_query,wtx,1000,,,88964434.0,ns,255
bench_trivial_query,wtx,1000,,,95222197.0,ns,258
bench_trivial_query,wtx,1000,,,88088312.0,ns,261
bench_trivial_query,wtx,1000,,,102233385.0,ns,264
bench_trivial_query,wtx,1000,,,94669207.0,ns,267
bench_trivial_query,wtx,1000,,,105828003.0,ns,270
bench_trivial_query,wtx,1000,,,102682990.0,ns,273
bench_trivial_query,wtx,1000,,,96523607.0,ns,276
bench_trivial_query,wtx,1000,,,97477586.0,ns,279
bench_trivial_query,wtx,1000,,,100850100.0,ns,282
bench_trivial_query,wtx,1000,,,98159438.0,ns,285
bench_trivial_query,wtx,1000,,,101045670.0,ns,288
bench_trivial_query,wtx,1000,,,95224932.0,ns,291
bench_trivial_query,wtx,1000,,,99219743.0,ns,294
bench_trivial_query,wtx,1000,,,113333598.0,ns,297
bench_trivial_query,wtx,1000,,,108611017.0,ns,300
