group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,mysql_by_name,10,,,1054540.0,ns,10
bench_trivial_query,mysql_by_name,10,,,2083777.0,ns,20
bench_trivial_query,mysql_by_name,10,,,2927731.0,ns,30
bench_trivial_query,mysql_by_name,10,,,4482541.0,ns,40
bench_trivial_query,mysql_by_name,10,,,4915567.0,ns,50
bench_trivial_query,mysql_by_name,10,,,6554255.0,ns,60
bench_trivial_query,mysql_by_name,10,,,6546042.0,ns,70
bench_trivial_query,mysql_by_name,10,,,8991390.0,ns,80
bench_trivial_query,mysql_by_name,10,,,8328587.0,ns,90
bench_trivial_query,mysql_by_name,10,,,8558847.0,ns,100
bench_trivial_query,mysql_by_name,10,,,9918246.0,ns,110
bench_trivial_query,mysql_by_name,10,,,13266489.0,ns,120
bench_trivial_query,mysql_by_name,10,,,12085986.0,ns,130
bench_trivial_query,mysql_by_name,10,,,14535816.0,ns,140
bench_trivial_query,mysql_by_name,10,,,14418838.0,ns,150
bench_trivial_query,mysql_by_name,10,,,15156124.0,ns,160
bench_trivial_query,mysql_by_name,10,,,18842576.0,ns,170
bench_trivial_query,mysql_by_name,10,,,17328633.0,ns,180
bench_trivial_query,mysql_by_name,10,,,25492897.0,ns,190
bench_trivial_query,mysql_by_name,10,,,20617098.0,ns,200
bench_trivial_query,mysql_by_name,10,,,23058967.0,ns,210
bench_trivial_query,mysql_by_name,10,,,21314258.0,ns,220
bench_trivial_query,mysql_by_name,10,,,23430245.0,ns,230
bench_trivial_query,mysql_by_name,10,,,27581156.0,ns,240
bench_trivial_query,mysql_by_name,10,,,25528625.0,ns,250
bench_trivial_query,mysql_by_name,10,,,26786821.0,ns,260
bench_trivial_query,mysql_by_name,10,,,31645520.0,ns,270
bench_trivial_query,mysql_by_name,10,,,29828141.0,ns,280
bench_trivial_query,mysql_by_name,10,,,34102174.0,ns,290
bench_trivial_query,mysql_by_name,10,,,28730145.0,ns,300
bench_trivial_query,mysql_by_name,10,,,29642795.0,ns,310
bench_trivial_query,mysql_by_name,10,,,31347654.0,ns,320
bench_trivial_query,mysql_by_name,10,,,32059052.0,ns,330
bench_trivial_query,mysql_by_name,10,,,32087538.0,ns,340
bench_trivial_query,mysql_by_name,10,,,37361591.0,ns,350
bench_trivial_query,mysql_by_name,10,,,36229568.0,ns,360
bench_trivial_query,mysql_by_name,10,,,41281222.0,ns,370
bench_trivial_query,mysql_by_name,10,,,39831133.0,ns,380
bench_trivial_query,mysql_by_name,10,,,43462161.0,ns,390
bench_trivial_query,mysql_by_name,10,,,42034692.0,ns,400
bench_trivial_query,mysql_by_name,10,,,46633604.0,ns,410
bench_trivial_query,mysql_by_name,10,,,45413185.0,ns,420
bench_trivial_query,mysql_by_name,10,,,44204312.0,ns,430
bench_trivial_query,mysql_by_name,10,,,43099716.0,ns,440
bench_trivial_query,mysql_by_name,10,,,45663440.0,ns,450
bench_trivial_query,mysql_by_name,10,,,48837977.0,ns,460
bench_trivial_query,mysql_by_name,10,,,46368201.0,ns,470
bench_trivial_query,mysql_by_name,10,,,50328007.0,ns,480
bench_trivial_query,mysql_by_name,10,,,49320331.0,ns,490
bench_trivial_query,mysql_by_name,10,,,56285952.0,ns,500
bench_trivial_query,mysql_by_name,10,,,48783355.0,ns,510
bench_trivial_query,mysql_by_name,10,,,56198801.0,ns,520
bench_trivial_query,mysql_by_name,10,,,62967677.0,ns,530
bench_trivial_query,mysql_by_name,10,,,52768020.0,ns,540
bench_trivial_query,mysql_by_name,10,,,60528393.0,ns,550
bench_trivial_query,mysql_by_name,10,,,54696903.0,ns,560
