group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,postgres,,,,54405708.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58775794.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60416636.0,ns,7
bench_loading_associations_sequentially,postgres,,,,57024146.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59899461.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58231288.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58460932.0,ns,7
bench_loading_associations_sequentially,postgres,,,,56016654.0,ns,7
bench_loading_associations_sequentially,postgres,,,,55369994.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60790552.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53374736.0,ns,7
bench_loading_associations_sequentially,postgres,,,,56435132.0,ns,7
bench_loading_associations_sequentially,postgres,,,,61753597.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58861618.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58340365.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53078732.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59765404.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58889850.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53206273.0,ns,7
bench_loading_associations_sequentially,postgres,,,,57748899.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52643578.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53102868.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52755687.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58901087.0,ns,7
bench_loading_associations_sequentially,postgres,,,,56978983.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58825273.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58531192.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58977622.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60977913.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58176334.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52787895.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53521696.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53352372.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53351601.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52890850.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53079834.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52995437.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52922227.0,ns,7
bench_loading_associations_sequentially,postgres,,,,57721006.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52788536.0,ns,7
bench_loading_associations_sequentially,postgres,,,,57013295.0,ns,7
bench_loading_associations_sequentially,postgres,,,,57571222.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59440697.0,ns,7
bench_loading_associations_sequentially,postgres,,,,57512474.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58696550.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58581657.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53504721.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53161616.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53379433.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53347305.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52803399.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58752024.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59042920.0,ns,7
bench_loading_associations_sequentially,postgres,,,,61899114.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52852503.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58027536.0,ns,7
bench_loading_associations_sequentially,postgres,,,,61728806.0,ns,7
bench_loading_associations_sequentially,postgres,,,,55948304.0,ns,7
bench_loading_associations_sequentially,postgres,,,,56558810.0,ns,7
bench_loading_associations_sequentially,postgres,,,,62978611.0,ns,7
bench_loading_associations_sequentially,postgres,,,,61617860.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60583408.0,ns,7
bench_loading_associations_sequentially,postgres,,,,64489628.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54308674.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60693308.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60798370.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60832862.0,ns,7
bench_loading_associations_sequentially,postgres,,,,64383809.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54482555.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54446311.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54351228.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58685150.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58964790.0,ns,7
bench_loading_associations_sequentially,postgres,,,,55455755.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54076486.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58443988.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59633122.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54299530.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54346922.0,ns,7
bench_loading_associations_sequentially,postgres,,,,62806042.0,ns,7
bench_loading_associations_sequentially,postgres,,,,56356757.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53991679.0,ns,7
bench_loading_associations_sequentially,postgres,,,,57998430.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58089066.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59824419.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53287763.0,ns,7
bench_loading_associations_sequentially,postgres,,,,62058731.0,ns,7
bench_loading_associations_sequentially,postgres,,,,52750016.0,ns,7
bench_loading_associations_sequentially,postgres,,,,54832029.0,ns,7
bench_loading_associations_sequentially,postgres,,,,60718721.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58630708.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58248935.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59644850.0,ns,7
bench_loading_associations_sequentially,postgres,,,,53611188.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58459707.0,ns,7
bench_loading_associations_sequentially,postgres,,,,58725450.0,ns,7
bench_loading_associations_sequentially,postgres,,,,59313793.0,ns,7
