group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_boxed,1,,,1172128.0,ns,9
bench_trivial_query,diesel_async_boxed,1,,,2185891.0,ns,18
bench_trivial_query,diesel_async_boxed,1,,,3270304.0,ns,27
bench_trivial_query,diesel_async_boxed,1,,,4021107.0,ns,36
bench_trivial_query,diesel_async_boxed,1,,,4981279.0,ns,45
bench_trivial_query,diesel_async_boxed,1,,,6002906.0,ns,54
bench_trivial_query,diesel_async_boxed,1,,,6705027.0,ns,63
bench_trivial_query,diesel_async_boxed,1,,,7835507.0,ns,72
bench_trivial_query,diesel_async_boxed,1,,,9475648.0,ns,81
bench_trivial_query,diesel_async_boxed,1,,,9548307.0,ns,90
bench_trivial_query,diesel_async_boxed,1,,,11138821.0,ns,99
bench_trivial_query,diesel_async_boxed,1,,,12575625.0,ns,108
bench_trivial_query,diesel_async_boxed,1,,,12259383.0,ns,117
bench_trivial_query,diesel_async_boxed,1,,,14165874.0,ns,126
bench_trivial_query,diesel_async_boxed,1,,,14372109.0,ns,135
bench_trivial_query,diesel_async_boxed,1,,,15032442.0,ns,144
bench_trivial_query,diesel_async_boxed,1,,,17471956.0,ns,153
bench_trivial_query,diesel_async_boxed,1,,,17387849.0,ns,162
bench_trivial_query,diesel_async_boxed,1,,,18686673.0,ns,171
bench_trivial_query,diesel_async_boxed,1,,,18782723.0,ns,180
bench_trivial_query,diesel_async_boxed,1,,,18933625.0,ns,189
bench_trivial_query,diesel_async_boxed,1,,,21357439.0,ns,198
bench_trivial_query,diesel_async_boxed,1,,,22336214.0,ns,207
bench_trivial_query,diesel_async_boxed,1,,,23610245.0,ns,216
bench_trivial_query,diesel_async_boxed,1,,,25310017.0,ns,225
bench_trivial_query,diesel_async_boxed,1,,,25743770.0,ns,234
bench_trivial_query,diesel_async_boxed,1,,,26685280.0,ns,243
bench_trivial_query,diesel_async_boxed,1,,,25801555.0,ns,252
bench_trivial_query,diesel_async_boxed,1,,,29027446.0,ns,261
