group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,1202451.0,ns,3
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,2394664.0,ns,6
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,3521956.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,4715000.0,ns,12
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,5860685.0,ns,15
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,7145712.0,ns,18
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,8212579.0,ns,21
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,9404502.0,ns,24
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,10517907.0,ns,27
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,11727692.0,ns,30
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,12854262.0,ns,33
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,14026668.0,ns,36
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,15257512.0,ns,39
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,16380536.0,ns,42
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,17611701.0,ns,45
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,18714557.0,ns,48
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,19941204.0,ns,51
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,21028430.0,ns,54
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,22284121.0,ns,57
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,23401925.0,ns,60
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,24674147.0,ns,63
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,25610450.0,ns,66
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,26836737.0,ns,69
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,27994354.0,ns,72
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,28985280.0,ns,75
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,30445394.0,ns,78
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,31451238.0,ns,81
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,32714784.0,ns,84
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,33724836.0,ns,87
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,35206330.0,ns,90
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,36352968.0,ns,93
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,37362027.0,ns,96
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,38502894.0,ns,99
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,39658117.0,ns,102
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,41170279.0,ns,105
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,41899434.0,ns,108
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,43078172.0,ns,111
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,44371995.0,ns,114
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,45557546.0,ns,117
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,46690577.0,ns,120
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,47966416.0,ns,123
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48869437.0,ns,126
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,50172387.0,ns,129
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,51454488.0,ns,132
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,52545301.0,ns,135
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,53678122.0,ns,138
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,54837504.0,ns,141
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,56354183.0,ns,144
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57018478.0,ns,147
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,58448095.0,ns,150
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,59538828.0,ns,153
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,60743384.0,ns,156
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,61923494.0,ns,159
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,62985942.0,ns,162
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,63909052.0,ns,165
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,65126482.0,ns,168
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66332860.0,ns,171
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,68016113.0,ns,174
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,68930816.0,ns,177
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,70040674.0,ns,180
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,70930520.0,ns,183
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,72145035.0,ns,186
