group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_boxed,10000,,,57602779.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,59440054.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,59562503.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56983877.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58430402.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58527182.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58249064.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56701605.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56823176.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,57976706.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58000360.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56600540.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58088013.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,57410217.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58052197.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56934824.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,57273635.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,60916937.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58498509.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56382394.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58503789.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58030285.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58368887.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58111417.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58921077.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,57958852.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,57935275.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58143340.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58421515.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,57618443.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56090119.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,58453655.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56526983.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,59387356.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,57071869.0,ns,6
bench_medium_complex_query,diesel_async_boxed,10000,,,56644309.0,ns,6
