group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,100,,,1095462.0,ns,28
bench_insert,rusqlite,100,,,2028079.0,ns,56
bench_insert,rusqlite,100,,,3009148.0,ns,84
bench_insert,rusqlite,100,,,3979185.0,ns,112
bench_insert,rusqlite,100,,,4978977.0,ns,140
bench_insert,rusqlite,100,,,5978089.0,ns,168
bench_insert,rusqlite,100,,,6994814.0,ns,196
bench_insert,rusqlite,100,,,7960413.0,ns,224
bench_insert,rusqlite,100,,,8947522.0,ns,252
bench_insert,rusqlite,100,,,9921276.0,ns,280
bench_insert,rusqlite,100,,,10923745.0,ns,308
bench_insert,rusqlite,100,,,11945468.0,ns,336
bench_insert,rusqlite,100,,,12948608.0,ns,364
bench_insert,rusqlite,100,,,13947329.0,ns,392
bench_insert,rusqlite,100,,,14900154.0,ns,420
bench_insert,rusqlite,100,,,16034319.0,ns,448
bench_insert,rusqlite,100,,,16992394.0,ns,476
bench_insert,rusqlite,100,,,18650429.0,ns,504
bench_insert,rusqlite,100,,,19008851.0,ns,532
bench_insert,rusqlite,100,,,19971565.0,ns,560
bench_insert,rusqlite,100,,,24746711.0,ns,588
bench_insert,rusqlite,100,,,21949190.0,ns,616
bench_insert,rusqlite,100,,,33266221.0,ns,644
bench_insert,rusqlite,100,,,23718464.0,ns,672
bench_insert,rusqlite,100,,,24520747.0,ns,700
bench_insert,rusqlite,100,,,25492728.0,ns,728
bench_insert,rusqlite,100,,,26595895.0,ns,756
bench_insert,rusqlite,100,,,28260013.0,ns,784
bench_insert,rusqlite,100,,,28425112.0,ns,812
bench_insert,rusqlite,100,,,29845974.0,ns,840
bench_insert,rusqlite,100,,,30990027.0,ns,868
bench_insert,rusqlite,100,,,31847443.0,ns,896
bench_insert,rusqlite,100,,,32883794.0,ns,924
bench_insert,rusqlite,100,,,34146432.0,ns,952
bench_insert,rusqlite,100,,,35090912.0,ns,980
bench_insert,rusqlite,100,,,35975829.0,ns,1008
bench_insert,rusqlite,100,,,36992803.0,ns,1036
bench_insert,rusqlite,100,,,38040175.0,ns,1064
bench_insert,rusqlite,100,,,38914994.0,ns,1092
bench_insert,rusqlite,100,,,39973826.0,ns,1120
bench_insert,rusqlite,100,,,41000099.0,ns,1148
bench_insert,rusqlite,100,,,41814904.0,ns,1176
bench_insert,rusqlite,100,,,42824295.0,ns,1204
bench_insert,rusqlite,100,,,45339567.0,ns,1232
bench_insert,rusqlite,100,,,46093839.0,ns,1260
bench_insert,rusqlite,100,,,47113829.0,ns,1288
bench_insert,rusqlite,100,,,48504444.0,ns,1316
bench_insert,rusqlite,100,,,49266180.0,ns,1344
bench_insert,rusqlite,100,,,50504189.0,ns,1372
bench_insert,rusqlite,100,,,51778405.0,ns,1400
bench_insert,rusqlite,100,,,52417752.0,ns,1428
bench_insert,rusqlite,100,,,53658951.0,ns,1456
bench_insert,rusqlite,100,,,53084819.0,ns,1484
bench_insert,rusqlite,100,,,52783604.0,ns,1512
bench_insert,rusqlite,100,,,55643775.0,ns,1540
bench_insert,rusqlite,100,,,55522098.0,ns,1568
bench_insert,rusqlite,100,,,56121040.0,ns,1596
bench_insert,rusqlite,100,,,59590384.0,ns,1624
bench_insert,rusqlite,100,,,60845768.0,ns,1652
bench_insert,rusqlite,100,,,61718725.0,ns,1680
bench_insert,rusqlite,100,,,62829186.0,ns,1708
bench_insert,rusqlite,100,,,64054603.0,ns,1736
bench_insert,rusqlite,100,,,65286192.0,ns,1764
bench_insert,rusqlite,100,,,66386906.0,ns,1792
bench_insert,rusqlite,100,,,64906811.0,ns,1820
bench_insert,rusqlite,100,,,65802300.0,ns,1848
bench_insert,rusqlite,100,,,66921989.0,ns,1876
bench_insert,rusqlite,100,,,69242960.0,ns,1904
bench_insert,rusqlite,100,,,67997375.0,ns,1932
bench_insert,rusqlite,100,,,71550767.0,ns,1960
bench_insert,rusqlite,100,,,70879398.0,ns,1988
bench_insert,rusqlite,100,,,73387069.0,ns,2016
bench_insert,rusqlite,100,,,73946578.0,ns,2044
bench_insert,rusqlite,100,,,75115429.0,ns,2072
bench_insert,rusqlite,100,,,78405557.0,ns,2100
bench_insert,rusqlite,100,,,84890679.0,ns,2128
bench_insert,rusqlite,100,,,78405313.0,ns,2156
bench_insert,rusqlite,100,,,79223420.0,ns,2184
bench_insert,rusqlite,100,,,77997142.0,ns,2212
bench_insert,rusqlite,100,,,81754966.0,ns,2240
bench_insert,rusqlite,100,,,82260574.0,ns,2268
bench_insert,rusqlite,100,,,83672151.0,ns,2296
bench_insert,rusqlite,100,,,84763115.0,ns,2324
bench_insert,rusqlite,100,,,85879890.0,ns,2352
bench_insert,rusqlite,100,,,86555556.0,ns,2380
bench_insert,rusqlite,100,,,90277343.0,ns,2408
bench_insert,rusqlite,100,,,89359733.0,ns,2436
bench_insert,rusqlite,100,,,90281431.0,ns,2464
bench_insert,rusqlite,100,,,90744529.0,ns,2492
bench_insert,rusqlite,100,,,91437539.0,ns,2520
bench_insert,rusqlite,100,,,92444276.0,ns,2548
bench_insert,rusqlite,100,,,93391301.0,ns,2576
bench_insert,rusqlite,100,,,97347748.0,ns,2604
bench_insert,rusqlite,100,,,97008192.0,ns,2632
bench_insert,rusqlite,100,,,96981080.0,ns,2660
bench_insert,rusqlite,100,,,97867212.0,ns,2688
bench_insert,rusqlite,100,,,104649106.0,ns,2716
bench_insert,rusqlite,100,,,96258948.0,ns,2744
bench_insert,rusqlite,100,,,99996474.0,ns,2772
bench_insert,rusqlite,100,,,99165616.0,ns,2800
