group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,1000,,,1907518.0,ns,2
bench_trivial_query,diesel,1000,,,4066968.0,ns,4
bench_trivial_query,diesel,1000,,,5960069.0,ns,6
bench_trivial_query,diesel,1000,,,7777880.0,ns,8
bench_trivial_query,diesel,1000,,,8604165.0,ns,10
bench_trivial_query,diesel,1000,,,11139405.0,ns,12
bench_trivial_query,diesel,1000,,,12001531.0,ns,14
bench_trivial_query,diesel,1000,,,19200816.0,ns,16
bench_trivial_query,diesel,1000,,,15567311.0,ns,18
bench_trivial_query,diesel,1000,,,17216286.0,ns,20
bench_trivial_query,diesel,1000,,,19139253.0,ns,22
bench_trivial_query,diesel,1000,,,20451639.0,ns,24
bench_trivial_query,diesel,1000,,,21532718.0,ns,26
bench_trivial_query,diesel,1000,,,23861296.0,ns,28
bench_trivial_query,diesel,1000,,,27595011.0,ns,30
bench_trivial_query,diesel,1000,,,30561191.0,ns,32
bench_trivial_query,diesel,1000,,,30841324.0,ns,34
bench_trivial_query,diesel,1000,,,32736108.0,ns,36
bench_trivial_query,diesel,1000,,,35644718.0,ns,38
bench_trivial_query,diesel,1000,,,33768790.0,ns,40
bench_trivial_query,diesel,1000,,,36350187.0,ns,42
bench_trivial_query,diesel,1000,,,40440612.0,ns,44
bench_trivial_query,diesel,1000,,,42440581.0,ns,46
bench_trivial_query,diesel,1000,,,42784584.0,ns,48
bench_trivial_query,diesel,1000,,,44684078.0,ns,50
bench_trivial_query,diesel,1000,,,48461255.0,ns,52
bench_trivial_query,diesel,1000,,,47094588.0,ns,54
bench_trivial_query,diesel,1000,,,54066969.0,ns,56
bench_trivial_query,diesel,1000,,,49158559.0,ns,58
bench_trivial_query,diesel,1000,,,53294666.0,ns,60
bench_trivial_query,diesel,1000,,,55104593.0,ns,62
bench_trivial_query,diesel,1000,,,54347635.0,ns,64
bench_trivial_query,diesel,1000,,,56233612.0,ns,66
bench_trivial_query,diesel,1000,,,61094386.0,ns,68
bench_trivial_query,diesel,1000,,,59049653.0,ns,70
bench_trivial_query,diesel,1000,,,61299951.0,ns,72
bench_trivial_query,diesel,1000,,,63180627.0,ns,74
bench_trivial_query,diesel,1000,,,68890597.0,ns,76
bench_trivial_query,diesel,1000,,,71298040.0,ns,78
bench_trivial_query,diesel,1000,,,67599713.0,ns,80
bench_trivial_query,diesel,1000,,,72484391.0,ns,82
bench_trivial_query,diesel,1000,,,74286190.0,ns,84
bench_trivial_query,diesel,1000,,,77852610.0,ns,86
bench_trivial_query,diesel,1000,,,79327431.0,ns,88
bench_trivial_query,diesel,1000,,,75172928.0,ns,90
bench_trivial_query,diesel,1000,,,79717398.0,ns,92
bench_trivial_query,diesel,1000,,,81273907.0,ns,94
bench_trivial_query,diesel,1000,,,81715155.0,ns,96
bench_trivial_query,diesel,1000,,,84319025.0,ns,98
bench_trivial_query,diesel,1000,,,91513732.0,ns,100
bench_trivial_query,diesel,1000,,,90792233.0,ns,102
bench_trivial_query,diesel,1000,,,93661440.0,ns,104
bench_trivial_query,diesel,1000,,,90984725.0,ns,106
bench_trivial_query,diesel,1000,,,95017927.0,ns,108
bench_trivial_query,diesel,1000,,,98986641.0,ns,110
bench_trivial_query,diesel,1000,,,94022876.0,ns,112
bench_trivial_query,diesel,1000,,,101623164.0,ns,114
bench_trivial_query,diesel,1000,,,99796035.0,ns,116
bench_trivial_query,diesel,1000,,,99744989.0,ns,118
bench_trivial_query,diesel,1000,,,104560554.0,ns,120
bench_trivial_query,diesel,1000,,,109268480.0,ns,122
bench_trivial_query,diesel,1000,,,110108373.0,ns,124
bench_trivial_query,diesel,1000,,,109735957.0,ns,126
bench_trivial_query,diesel,1000,,,112671375.0,ns,128
bench_trivial_query,diesel,1000,,,111208641.0,ns,130
bench_trivial_query,diesel,1000,,,111472355.0,ns,132
bench_trivial_query,diesel,1000,,,114222009.0,ns,134
bench_trivial_query,diesel,1000,,,116132529.0,ns,136
bench_trivial_query,diesel,1000,,,121243881.0,ns,138
bench_trivial_query,diesel,1000,,,124780347.0,ns,140
bench_trivial_query,diesel,1000,,,121220539.0,ns,142
bench_trivial_query,diesel,1000,,,122691190.0,ns,144
bench_trivial_query,diesel,1000,,,127570275.0,ns,146
bench_trivial_query,diesel,1000,,,133674745.0,ns,148
bench_trivial_query,diesel,1000,,,128929255.0,ns,150
bench_trivial_query,diesel,1000,,,128957480.0,ns,152
bench_trivial_query,diesel,1000,,,131819273.0,ns,154
bench_trivial_query,diesel,1000,,,134932687.0,ns,156
bench_trivial_query,diesel,1000,,,138762870.0,ns,158
bench_trivial_query,diesel,1000,,,135875770.0,ns,160
bench_trivial_query,diesel,1000,,,143547390.0,ns,162
bench_trivial_query,diesel,1000,,,139025514.0,ns,164
bench_trivial_query,diesel,1000,,,147899540.0,ns,166
bench_trivial_query,diesel,1000,,,143638037.0,ns,168
bench_trivial_query,diesel,1000,,,144227884.0,ns,170
bench_trivial_query,diesel,1000,,,152860085.0,ns,172
bench_trivial_query,diesel,1000,,,154900663.0,ns,174
bench_trivial_query,diesel,1000,,,149752682.0,ns,176
bench_trivial_query,diesel,1000,,,158916827.0,ns,178
bench_trivial_query,diesel,1000,,,156416047.0,ns,180
