group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rustorm,10,,,1609418.0,ns,1
bench_insert,rustorm,10,,,1847980.0,ns,2
bench_insert,rustorm,10,,,3427664.0,ns,3
bench_insert,rustorm,10,,,3445872.0,ns,4
bench_insert,rustorm,10,,,5668500.0,ns,5
bench_insert,rustorm,10,,,15931822.0,ns,6
bench_insert,rustorm,10,,,6859735.0,ns,7
bench_insert,rustorm,10,,,7492563.0,ns,8
bench_insert,rustorm,10,,,9543601.0,ns,9
bench_insert,rustorm,10,,,8790921.0,ns,10
bench_insert,rustorm,10,,,75475250.0,ns,11
bench_insert,rustorm,10,,,9102242.0,ns,12
bench_insert,rustorm,10,,,12450466.0,ns,13
bench_insert,rustorm,10,,,76825977.0,ns,14
bench_insert,rustorm,10,,,12577655.0,ns,15
bench_insert,rustorm,10,,,14599583.0,ns,16
bench_insert,rustorm,10,,,14311056.0,ns,17
bench_insert,rustorm,10,,,16924166.0,ns,18
bench_insert,rustorm,10,,,15610580.0,ns,19
bench_insert,rustorm,10,,,18040047.0,ns,20
bench_insert,rustorm,10,,,20552969.0,ns,21
bench_insert,rustorm,10,,,44452996.0,ns,22
bench_insert,rustorm,10,,,21980978.0,ns,23
bench_insert,rustorm,10,,,34296351.0,ns,24
bench_insert,rustorm,10,,,19497355.0,ns,25
bench_insert,rustorm,10,,,21220887.0,ns,26
bench_insert,rustorm,10,,,216135081.0,ns,27
bench_insert,rustorm,10,,,64962960.0,ns,28
bench_insert,rustorm,10,,,24586776.0,ns,29
bench_insert,rustorm,10,,,24892185.0,ns,30
bench_insert,rustorm,10,,,24897858.0,ns,31
bench_insert,rustorm,10,,,30776722.0,ns,32
bench_insert,rustorm,10,,,34025129.0,ns,33
bench_insert,rustorm,10,,,31808891.0,ns,34
bench_insert,rustorm,10,,,29861680.0,ns,35
bench_insert,rustorm,10,,,33874852.0,ns,36
bench_insert,rustorm,10,,,28327311.0,ns,37
bench_insert,rustorm,10,,,42836612.0,ns,38
bench_insert,rustorm,10,,,30824359.0,ns,39
bench_insert,rustorm,10,,,32850850.0,ns,40
bench_insert,rustorm,10,,,70014320.0,ns,41
bench_insert,rustorm,10,,,33639385.0,ns,42
bench_insert,rustorm,10,,,33407057.0,ns,43
bench_insert,rustorm,10,,,38782749.0,ns,44
bench_insert,rustorm,10,,,37836340.0,ns,45
bench_insert,rustorm,10,,,39491252.0,ns,46
bench_insert,rustorm,10,,,40953418.0,ns,47
bench_insert,rustorm,10,,,37958760.0,ns,48
bench_insert,rustorm,10,,,45658287.0,ns,49
bench_insert,rustorm,10,,,39440972.0,ns,50
bench_insert,rustorm,10,,,39704165.0,ns,51
bench_insert,rustorm,10,,,40437976.0,ns,52
bench_insert,rustorm,10,,,53905871.0,ns,53
bench_insert,rustorm,10,,,61476817.0,ns,54
bench_insert,rustorm,10,,,50219028.0,ns,55
bench_insert,rustorm,10,,,68217597.0,ns,56
bench_insert,rustorm,10,,,69391941.0,ns,57
bench_insert,rustorm,10,,,44061488.0,ns,58
bench_insert,rustorm,10,,,49302269.0,ns,59
bench_insert,rustorm,10,,,52156054.0,ns,60
bench_insert,rustorm,10,,,50762001.0,ns,61
bench_insert,rustorm,10,,,62766398.0,ns,62
bench_insert,rustorm,10,,,47930831.0,ns,63
bench_insert,rustorm,10,,,51220446.0,ns,64
bench_insert,rustorm,10,,,57878640.0,ns,65
bench_insert,rustorm,10,,,59587315.0,ns,66
bench_insert,rustorm,10,,,52942460.0,ns,67
bench_insert,rustorm,10,,,72917864.0,ns,68
bench_insert,rustorm,10,,,53990724.0,ns,69
bench_insert,rustorm,10,,,69881679.0,ns,70
bench_insert,rustorm,10,,,55757706.0,ns,71
bench_insert,rustorm,10,,,248430870.0,ns,72
bench_insert,rustorm,10,,,54347684.0,ns,73
bench_insert,rustorm,10,,,64501692.0,ns,74
bench_insert,rustorm,10,,,94388559.0,ns,75
bench_insert,rustorm,10,,,70293307.0,ns,76
bench_insert,rustorm,10,,,71149375.0,ns,77
bench_insert,rustorm,10,,,79293797.0,ns,78
bench_insert,rustorm,10,,,64161195.0,ns,79
bench_insert,rustorm,10,,,61824835.0,ns,80
bench_insert,rustorm,10,,,70358105.0,ns,81
bench_insert,rustorm,10,,,62969349.0,ns,82
bench_insert,rustorm,10,,,80236846.0,ns,83
bench_insert,rustorm,10,,,76436351.0,ns,84
bench_insert,rustorm,10,,,77435915.0,ns,85
bench_insert,rustorm,10,,,67052336.0,ns,86
bench_insert,rustorm,10,,,70742408.0,ns,87
bench_insert,rustorm,10,,,75611478.0,ns,88
bench_insert,rustorm,10,,,90259479.0,ns,89
bench_insert,rustorm,10,,,69359784.0,ns,90
bench_insert,rustorm,10,,,69914030.0,ns,91
bench_insert,rustorm,10,,,250772303.0,ns,92
bench_insert,rustorm,10,,,269647214.0,ns,93
bench_insert,rustorm,10,,,76683704.0,ns,94
bench_insert,rustorm,10,,,74908834.0,ns,95
bench_insert,rustorm,10,,,414644834.0,ns,96
bench_insert,rustorm,10,,,1188204146.0,ns,97
bench_insert,rustorm,10,,,81408968.0,ns,98
bench_insert,rustorm,10,,,171887180.0,ns,99
bench_insert,rustorm,10,,,526133266.0,ns,100
