group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_as_macro,1,,,1524232.0,ns,17
bench_medium_complex_query,sqlx_query_as_macro,1,,,1968265.0,ns,34
bench_medium_complex_query,sqlx_query_as_macro,1,,,3484300.0,ns,51
bench_medium_complex_query,sqlx_query_as_macro,1,,,3645299.0,ns,68
bench_medium_complex_query,sqlx_query_as_macro,1,,,5266253.0,ns,85
bench_medium_complex_query,sqlx_query_as_macro,1,,,5449862.0,ns,102
bench_medium_complex_query,sqlx_query_as_macro,1,,,5897776.0,ns,119
bench_medium_complex_query,sqlx_query_as_macro,1,,,7351476.0,ns,136
bench_medium_complex_query,sqlx_query_as_macro,1,,,10791048.0,ns,153
bench_medium_complex_query,sqlx_query_as_macro,1,,,8222412.0,ns,170
bench_medium_complex_query,sqlx_query_as_macro,1,,,10819301.0,ns,187
bench_medium_complex_query,sqlx_query_as_macro,1,,,9957634.0,ns,204
bench_medium_complex_query,sqlx_query_as_macro,1,,,10591205.0,ns,221
bench_medium_complex_query,sqlx_query_as_macro,1,,,13093671.0,ns,238
bench_medium_complex_query,sqlx_query_as_macro,1,,,12512969.0,ns,255
bench_medium_complex_query,sqlx_query_as_macro,1,,,15884654.0,ns,272
bench_medium_complex_query,sqlx_query_as_macro,1,,,14015038.0,ns,289
bench_medium_complex_query,sqlx_query_as_macro,1,,,18050670.0,ns,306
bench_medium_complex_query,sqlx_query_as_macro,1,,,16934756.0,ns,323
bench_medium_complex_query,sqlx_query_as_macro,1,,,19824950.0,ns,340
bench_medium_complex_query,sqlx_query_as_macro,1,,,19117568.0,ns,357
bench_medium_complex_query,sqlx_query_as_macro,1,,,18429364.0,ns,374
bench_medium_complex_query,sqlx_query_as_macro,1,,,22536653.0,ns,391
bench_medium_complex_query,sqlx_query_as_macro,1,,,19918212.0,ns,408
bench_medium_complex_query,sqlx_query_as_macro,1,,,20702141.0,ns,425
bench_medium_complex_query,sqlx_query_as_macro,1,,,25015724.0,ns,442
bench_medium_complex_query,sqlx_query_as_macro,1,,,25911523.0,ns,459
bench_medium_complex_query,sqlx_query_as_macro,1,,,27215461.0,ns,476
bench_medium_complex_query,sqlx_query_as_macro,1,,,26861500.0,ns,493
bench_medium_complex_query,sqlx_query_as_macro,1,,,26745447.0,ns,510
bench_medium_complex_query,sqlx_query_as_macro,1,,,30336570.0,ns,527
bench_medium_complex_query,sqlx_query_as_macro,1,,,29782379.0,ns,544
bench_medium_complex_query,sqlx_query_as_macro,1,,,26217217.0,ns,561
bench_medium_complex_query,sqlx_query_as_macro,1,,,30475446.0,ns,578
bench_medium_complex_query,sqlx_query_as_macro,1,,,27512958.0,ns,595
bench_medium_complex_query,sqlx_query_as_macro,1,,,31604449.0,ns,612
bench_medium_complex_query,sqlx_query_as_macro,1,,,29701687.0,ns,629
bench_medium_complex_query,sqlx_query_as_macro,1,,,32256226.0,ns,646
bench_medium_complex_query,sqlx_query_as_macro,1,,,30671624.0,ns,663
bench_medium_complex_query,sqlx_query_as_macro,1,,,31008534.0,ns,680
bench_medium_complex_query,sqlx_query_as_macro,1,,,38935948.0,ns,697
bench_medium_complex_query,sqlx_query_as_macro,1,,,38013579.0,ns,714
bench_medium_complex_query,sqlx_query_as_macro,1,,,41079525.0,ns,731
bench_medium_complex_query,sqlx_query_as_macro,1,,,43552807.0,ns,748
bench_medium_complex_query,sqlx_query_as_macro,1,,,44259414.0,ns,765
bench_medium_complex_query,sqlx_query_as_macro,1,,,43799346.0,ns,782
