group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_boxed,1000,,,1366092.0,ns,3
bench_trivial_query,diesel_async_boxed,1000,,,2828092.0,ns,6
bench_trivial_query,diesel_async_boxed,1000,,,4271677.0,ns,9
bench_trivial_query,diesel_async_boxed,1000,,,5856164.0,ns,12
bench_trivial_query,diesel_async_boxed,1000,,,6896490.0,ns,15
bench_trivial_query,diesel_async_boxed,1000,,,8589869.0,ns,18
bench_trivial_query,diesel_async_boxed,1000,,,10136027.0,ns,21
bench_trivial_query,diesel_async_boxed,1000,,,11315380.0,ns,24
bench_trivial_query,diesel_async_boxed,1000,,,13238057.0,ns,27
bench_trivial_query,diesel_async_boxed,1000,,,13771590.0,ns,30
bench_trivial_query,diesel_async_boxed,1000,,,15700905.0,ns,33
bench_trivial_query,diesel_async_boxed,1000,,,18099921.0,ns,36
bench_trivial_query,diesel_async_boxed,1000,,,18262394.0,ns,39
bench_trivial_query,diesel_async_boxed,1000,,,20461815.0,ns,42
bench_trivial_query,diesel_async_boxed,1000,,,21718574.0,ns,45
bench_trivial_query,diesel_async_boxed,1000,,,23801207.0,ns,48
bench_trivial_query,diesel_async_boxed,1000,,,24652070.0,ns,51
bench_trivial_query,diesel_async_boxed,1000,,,24764299.0,ns,54
bench_trivial_query,diesel_async_boxed,1000,,,26939416.0,ns,57
bench_trivial_query,diesel_async_boxed,1000,,,28929137.0,ns,60
bench_trivial_query,diesel_async_boxed,1000,,,30583194.0,ns,63
bench_trivial_query,diesel_async_boxed,1000,,,31858567.0,ns,66
bench_trivial_query,diesel_async_boxed,1000,,,31554611.0,ns,69
bench_trivial_query,diesel_async_boxed,1000,,,35513216.0,ns,72
bench_trivial_query,diesel_async_boxed,1000,,,34039387.0,ns,75
bench_trivial_query,diesel_async_boxed,1000,,,35502805.0,ns,78
bench_trivial_query,diesel_async_boxed,1000,,,37666455.0,ns,81
bench_trivial_query,diesel_async_boxed,1000,,,40794847.0,ns,84
bench_trivial_query,diesel_async_boxed,1000,,,42041323.0,ns,87
bench_trivial_query,diesel_async_boxed,1000,,,43440211.0,ns,90
bench_trivial_query,diesel_async_boxed,1000,,,44470476.0,ns,93
bench_trivial_query,diesel_async_boxed,1000,,,45652672.0,ns,96
bench_trivial_query,diesel_async_boxed,1000,,,49016390.0,ns,99
bench_trivial_query,diesel_async_boxed,1000,,,47615789.0,ns,102
bench_trivial_query,diesel_async_boxed,1000,,,48898301.0,ns,105
bench_trivial_query,diesel_async_boxed,1000,,,51816467.0,ns,108
bench_trivial_query,diesel_async_boxed,1000,,,54718413.0,ns,111
bench_trivial_query,diesel_async_boxed,1000,,,53347136.0,ns,114
bench_trivial_query,diesel_async_boxed,1000,,,54926650.0,ns,117
bench_trivial_query,diesel_async_boxed,1000,,,58972967.0,ns,120
bench_trivial_query,diesel_async_boxed,1000,,,58264301.0,ns,123
bench_trivial_query,diesel_async_boxed,1000,,,57539474.0,ns,126
bench_trivial_query,diesel_async_boxed,1000,,,62728564.0,ns,129
bench_trivial_query,diesel_async_boxed,1000,,,62234356.0,ns,132
bench_trivial_query,diesel_async_boxed,1000,,,65567729.0,ns,135
bench_trivial_query,diesel_async_boxed,1000,,,67847665.0,ns,138
bench_trivial_query,diesel_async_boxed,1000,,,68607920.0,ns,141
bench_trivial_query,diesel_async_boxed,1000,,,66205093.0,ns,144
bench_trivial_query,diesel_async_boxed,1000,,,70834213.0,ns,147
bench_trivial_query,diesel_async_boxed,1000,,,67904861.0,ns,150
bench_trivial_query,diesel_async_boxed,1000,,,73824218.0,ns,153
bench_trivial_query,diesel_async_boxed,1000,,,73353133.0,ns,156
bench_trivial_query,diesel_async_boxed,1000,,,75410625.0,ns,159
bench_trivial_query,diesel_async_boxed,1000,,,80004419.0,ns,162
bench_trivial_query,diesel_async_boxed,1000,,,81481903.0,ns,165
bench_trivial_query,diesel_async_boxed,1000,,,79760796.0,ns,168
