group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,100,,,1070054.0,ns,51
bench_medium_complex_query,diesel,100,,,2070145.0,ns,102
bench_medium_complex_query,diesel,100,,,3049074.0,ns,153
bench_medium_complex_query,diesel,100,,,4089264.0,ns,204
bench_medium_complex_query,diesel,100,,,5080231.0,ns,255
bench_medium_complex_query,diesel,100,,,6366956.0,ns,306
bench_medium_complex_query,diesel,100,,,7115114.0,ns,357
bench_medium_complex_query,diesel,100,,,8122565.0,ns,408
bench_medium_complex_query,diesel,100,,,9109536.0,ns,459
bench_medium_complex_query,diesel,100,,,10118520.0,ns,510
bench_medium_complex_query,diesel,100,,,11137068.0,ns,561
bench_medium_complex_query,diesel,100,,,12171339.0,ns,612
bench_medium_complex_query,diesel,100,,,13611190.0,ns,663
bench_medium_complex_query,diesel,100,,,14886168.0,ns,714
bench_medium_complex_query,diesel,100,,,15107406.0,ns,765
bench_medium_complex_query,diesel,100,,,16256627.0,ns,816
bench_medium_complex_query,diesel,100,,,17267895.0,ns,867
bench_medium_complex_query,diesel,100,,,18390266.0,ns,918
bench_medium_complex_query,diesel,100,,,19389064.0,ns,969
bench_medium_complex_query,diesel,100,,,20258211.0,ns,1020
bench_medium_complex_query,diesel,100,,,22364610.0,ns,1071
bench_medium_complex_query,diesel,100,,,22301476.0,ns,1122
bench_medium_complex_query,diesel,100,,,23869618.0,ns,1173
bench_medium_complex_query,diesel,100,,,24448875.0,ns,1224
bench_medium_complex_query,diesel,100,,,25228580.0,ns,1275
bench_medium_complex_query,diesel,100,,,26356269.0,ns,1326
bench_medium_complex_query,diesel,100,,,27602424.0,ns,1377
bench_medium_complex_query,diesel,100,,,28209573.0,ns,1428
bench_medium_complex_query,diesel,100,,,29213359.0,ns,1479
bench_medium_complex_query,diesel,100,,,30359906.0,ns,1530
bench_medium_complex_query,diesel,100,,,31289172.0,ns,1581
bench_medium_complex_query,diesel,100,,,32385836.0,ns,1632
bench_medium_complex_query,diesel,100,,,33770225.0,ns,1683
bench_medium_complex_query,diesel,100,,,34533235.0,ns,1734
bench_medium_complex_query,diesel,100,,,35486316.0,ns,1785
bench_medium_complex_query,diesel,100,,,39561459.0,ns,1836
bench_medium_complex_query,diesel,100,,,37546916.0,ns,1887
bench_medium_complex_query,diesel,100,,,38388312.0,ns,1938
bench_medium_complex_query,diesel,100,,,39439408.0,ns,1989
bench_medium_complex_query,diesel,100,,,40497224.0,ns,2040
bench_medium_complex_query,diesel,100,,,42129610.0,ns,2091
bench_medium_complex_query,diesel,100,,,42663531.0,ns,2142
bench_medium_complex_query,diesel,100,,,45018258.0,ns,2193
bench_medium_complex_query,diesel,100,,,44549904.0,ns,2244
bench_medium_complex_query,diesel,100,,,45543675.0,ns,2295
bench_medium_complex_query,diesel,100,,,46816449.0,ns,2346
bench_medium_complex_query,diesel,100,,,47595943.0,ns,2397
bench_medium_complex_query,diesel,100,,,49944480.0,ns,2448
bench_medium_complex_query,diesel,100,,,49575794.0,ns,2499
bench_medium_complex_query,diesel,100,,,50314578.0,ns,2550
bench_medium_complex_query,diesel,100,,,51891723.0,ns,2601
bench_medium_complex_query,diesel,100,,,54601605.0,ns,2652
