group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,mysql_by_name,10000,,,53920259.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,56702147.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,53995610.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,60996230.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54570393.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54512908.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54657663.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,59293763.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54314814.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54972219.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,53962000.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,56042588.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57880085.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54052365.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54830779.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57842590.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57531598.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,55002474.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54277599.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,56837377.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,58064068.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,55343330.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,58160526.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54593247.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,56148279.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54579536.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54474280.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54231721.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,61577362.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57967535.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,55004758.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54143679.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54469464.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54046405.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,55595104.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54088918.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54250397.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54219371.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57160256.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54335322.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54075797.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54408231.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,55645076.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,53826828.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,56433401.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,61858728.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57035450.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54738951.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54292990.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54266330.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57016172.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54764570.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,57596583.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,64961183.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54022153.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54331317.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54076429.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54590031.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54123989.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,62668445.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54057891.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,55323890.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54632874.0,ns,12
bench_trivial_query,mysql_by_name,10000,,,54032053.0,ns,12
