group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,zero_mysql_by_id,10,,,1040084.0,ns,15
bench_trivial_query,zero_mysql_by_id,10,,,1892205.0,ns,30
bench_trivial_query,zero_mysql_by_id,10,,,2917958.0,ns,45
bench_trivial_query,zero_mysql_by_id,10,,,4840719.0,ns,60
bench_trivial_query,zero_mysql_by_id,10,,,4870088.0,ns,75
bench_trivial_query,zero_mysql_by_id,10,,,6280909.0,ns,90
bench_trivial_query,zero_mysql_by_id,10,,,6905024.0,ns,105
bench_trivial_query,zero_mysql_by_id,10,,,8469483.0,ns,120
bench_trivial_query,zero_mysql_by_id,10,,,10133762.0,ns,135
bench_trivial_query,zero_mysql_by_id,10,,,9550203.0,ns,150
bench_trivial_query,zero_mysql_by_id,10,,,11125523.0,ns,165
bench_trivial_query,zero_mysql_by_id,10,,,13019691.0,ns,180
bench_trivial_query,zero_mysql_by_id,10,,,12831030.0,ns,195
bench_trivial_query,zero_mysql_by_id,10,,,16570703.0,ns,210
bench_trivial_query,zero_mysql_by_id,10,,,15062583.0,ns,225
bench_trivial_query,zero_mysql_by_id,10,,,16033935.0,ns,240
bench_trivial_query,zero_mysql_by_id,10,,,18435125.0,ns,255
bench_trivial_query,zero_mysql_by_id,10,,,20675742.0,ns,270
bench_trivial_query,zero_mysql_by_id,10,,,19321736.0,ns,285
bench_trivial_query,zero_mysql_by_id,10,,,21332266.0,ns,300
bench_trivial_query,zero_mysql_by_id,10,,,21222169.0,ns,315
bench_trivial_query,zero_mysql_by_id,10,,,21839374.0,ns,330
bench_trivial_query,zero_mysql_by_id,10,,,23216263.0,ns,345
bench_trivial_query,zero_mysql_by_id,10,,,25036253.0,ns,360
bench_trivial_query,zero_mysql_by_id,10,,,26236245.0,ns,375
bench_trivial_query,zero_mysql_by_id,10,,,26006388.0,ns,390
bench_trivial_query,zero_mysql_by_id,10,,,28159967.0,ns,405
bench_trivial_query,zero_mysql_by_id,10,,,29215886.0,ns,420
bench_trivial_query,zero_mysql_by_id,10,,,28565467.0,ns,435
bench_trivial_query,zero_mysql_by_id,10,,,34681602.0,ns,450
bench_trivial_query,zero_mysql_by_id,10,,,31290468.0,ns,465
bench_trivial_query,zero_mysql_by_id,10,,,33238347.0,ns,480
bench_trivial_query,zero_mysql_by_id,10,,,33463977.0,ns,495
bench_trivial_query,zero_mysql_by_id,10,,,36595720.0,ns,510
bench_trivial_query,zero_mysql_by_id,10,,,38126515.0,ns,525
bench_trivial_query,zero_mysql_by_id,10,,,38392289.0,ns,540
bench_trivial_query,zero_mysql_by_id,10,,,41243834.0,ns,555
bench_trivial_query,zero_mysql_by_id,10,,,38146537.0,ns,570
bench_trivial_query,zero_mysql_by_id,10,,,38450377.0,ns,585
bench_trivial_query,zero_mysql_by_id,10,,,39083554.0,ns,600
bench_trivial_query,zero_mysql_by_id,10,,,42413826.0,ns,615
bench_trivial_query,zero_mysql_by_id,10,,,49017609.0,ns,630
bench_trivial_query,zero_mysql_by_id,10,,,46568608.0,ns,645
bench_trivial_query,zero_mysql_by_id,10,,,49527682.0,ns,660
bench_trivial_query,zero_mysql_by_id,10,,,49942794.0,ns,675
bench_trivial_query,zero_mysql_by_id,10,,,49666307.0,ns,690
bench_trivial_query,zero_mysql_by_id,10,,,55292640.0,ns,705
bench_trivial_query,zero_mysql_by_id,10,,,52484694.0,ns,720
bench_trivial_query,zero_mysql_by_id,10,,,57120302.0,ns,735
bench_trivial_query,zero_mysql_by_id,10,,,53198153.0,ns,750
bench_trivial_query,zero_mysql_by_id,10,,,52818178.0,ns,765
bench_trivial_query,zero_mysql_by_id,10,,,58399975.0,ns,780
bench_trivial_query,zero_mysql_by_id,10,,,61150869.0,ns,795
bench_trivial_query,zero_mysql_by_id,10,,,54625179.0,ns,810
bench_trivial_query,zero_mysql_by_id,10,,,64592439.0,ns,825
bench_trivial_query,zero_mysql_by_id,10,,,60642619.0,ns,840
bench_trivial_query,zero_mysql_by_id,10,,,65313234.0,ns,855
bench_trivial_query,zero_mysql_by_id,10,,,63113855.0,ns,870
bench_trivial_query,zero_mysql_by_id,10,,,70162282.0,ns,885
bench_trivial_query,zero_mysql_by_id,10,,,60688679.0,ns,900
bench_trivial_query,zero_mysql_by_id,10,,,68336458.0,ns,915
bench_trivial_query,zero_mysql_by_id,10,,,73049322.0,ns,930
bench_trivial_query,zero_mysql_by_id,10,,,66012654.0,ns,945
bench_trivial_query,zero_mysql_by_id,10,,,69208594.0,ns,960
bench_trivial_query,zero_mysql_by_id,10,,,64116283.0,ns,975
bench_trivial_query,zero_mysql_by_id,10,,,70359204.0,ns,990
bench_trivial_query,zero_mysql_by_id,10,,,69435316.0,ns,1005
bench_trivial_query,zero_mysql_by_id,10,,,76012037.0,ns,1020
bench_trivial_query,zero_mysql_by_id,10,,,75488294.0,ns,1035
bench_trivial_query,zero_mysql_by_id,10,,,73697188.0,ns,1050
bench_trivial_query,zero_mysql_by_id,10,,,70020072.0,ns,1065
bench_trivial_query,zero_mysql_by_id,10,,,72966857.0,ns,1080
bench_trivial_query,zero_mysql_by_id,10,,,82322797.0,ns,1095
bench_trivial_query,zero_mysql_by_id,10,,,76681441.0,ns,1110
bench_trivial_query,zero_mysql_by_id,10,,,75371958.0,ns,1125
bench_trivial_query,zero_mysql_by_id,10,,,78386147.0,ns,1140
bench_trivial_query,zero_mysql_by_id,10,,,82989942.0,ns,1155
bench_trivial_query,zero_mysql_by_id,10,,,83938913.0,ns,1170
bench_trivial_query,zero_mysql_by_id,10,,,89074323.0,ns,1185
bench_trivial_query,zero_mysql_by_id,10,,,83061580.0,ns,1200
bench_trivial_query,zero_mysql_by_id,10,,,95767582.0,ns,1215
bench_trivial_query,zero_mysql_by_id,10,,,86424041.0,ns,1230
bench_trivial_query,zero_mysql_by_id,10,,,80522412.0,ns,1245
bench_trivial_query,zero_mysql_by_id,10,,,83692189.0,ns,1260
bench_trivial_query,zero_mysql_by_id,10,,,92565909.0,ns,1275
bench_trivial_query,zero_mysql_by_id,10,,,85074758.0,ns,1290
bench_trivial_query,zero_mysql_by_id,10,,,92767083.0,ns,1305
bench_trivial_query,zero_mysql_by_id,10,,,96041095.0,ns,1320
bench_trivial_query,zero_mysql_by_id,10,,,86002596.0,ns,1335
bench_trivial_query,zero_mysql_by_id,10,,,90163212.0,ns,1350
bench_trivial_query,zero_mysql_by_id,10,,,107059105.0,ns,1365
bench_trivial_query,zero_mysql_by_id,10,,,97497030.0,ns,1380
bench_trivial_query,zero_mysql_by_id,10,,,103743181.0,ns,1395
bench_trivial_query,zero_mysql_by_id,10,,,101339502.0,ns,1410
bench_trivial_query,zero_mysql_by_id,10,,,92775957.0,ns,1425
bench_trivial_query,zero_mysql_by_id,10,,,97032537.0,ns,1440
bench_trivial_query,zero_mysql_by_id,10,,,104490102.0,ns,1455
bench_trivial_query,zero_mysql_by_id,10,,,97956230.0,ns,1470
bench_trivial_query,zero_mysql_by_id,10,,,98517814.0,ns,1485
bench_trivial_query,zero_mysql_by_id,10,,,98698910.0,ns,1500
