group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,zero_mysql_async,10,,,1128579.0,ns,5
bench_medium_complex_query,zero_mysql_async,10,,,2101948.0,ns,10
bench_medium_complex_query,zero_mysql_async,10,,,3126213.0,ns,15
bench_medium_complex_query,zero_mysql_async,10,,,4288805.0,ns,20
bench_medium_complex_query,zero_mysql_async,10,,,5000843.0,ns,25
bench_medium_complex_query,zero_mysql_async,10,,,6148721.0,ns,30
bench_medium_complex_query,zero_mysql_async,10,,,7328759.0,ns,35
bench_medium_complex_query,zero_mysql_async,10,,,8202038.0,ns,40
bench_medium_complex_query,zero_mysql_async,10,,,9442834.0,ns,45
bench_medium_complex_query,zero_mysql_async,10,,,9874333.0,ns,50
bench_medium_complex_query,zero_mysql_async,10,,,10799219.0,ns,55
bench_medium_complex_query,zero_mysql_async,10,,,11827601.0,ns,60
bench_medium_complex_query,zero_mysql_async,10,,,13555462.0,ns,65
bench_medium_complex_query,zero_mysql_async,10,,,14376536.0,ns,70
bench_medium_complex_query,zero_mysql_async,10,,,14878956.0,ns,75
bench_medium_complex_query,zero_mysql_async,10,,,16162635.0,ns,80
bench_medium_complex_query,zero_mysql_async,10,,,17309117.0,ns,85
bench_medium_complex_query,zero_mysql_async,10,,,17854416.0,ns,90
bench_medium_complex_query,zero_mysql_async,10,,,19570714.0,ns,95
bench_medium_complex_query,zero_mysql_async,10,,,20030824.0,ns,100
bench_medium_complex_query,zero_mysql_async,10,,,21422135.0,ns,105
bench_medium_complex_query,zero_mysql_async,10,,,22665828.0,ns,110
bench_medium_complex_query,zero_mysql_async,10,,,23325581.0,ns,115
bench_medium_complex_query,zero_mysql_async,10,,,24137705.0,ns,120
bench_medium_complex_query,zero_mysql_async,10,,,25120307.0,ns,125
bench_medium_complex_query,zero_mysql_async,10,,,26319967.0,ns,130
bench_medium_complex_query,zero_mysql_async,10,,,27587355.0,ns,135
bench_medium_complex_query,zero_mysql_async,10,,,27750628.0,ns,140
bench_medium_complex_query,zero_mysql_async,10,,,30044237.0,ns,145
bench_medium_complex_query,zero_mysql_async,10,,,30438601.0,ns,150
bench_medium_complex_query,zero_mysql_async,10,,,32731859.0,ns,155
bench_medium_complex_query,zero_mysql_async,10,,,32117663.0,ns,160
bench_medium_complex_query,zero_mysql_async,10,,,33122772.0,ns,165
bench_medium_complex_query,zero_mysql_async,10,,,34742316.0,ns,170
bench_medium_complex_query,zero_mysql_async,10,,,34475297.0,ns,175
bench_medium_complex_query,zero_mysql_async,10,,,37181014.0,ns,180
bench_medium_complex_query,zero_mysql_async,10,,,37154163.0,ns,185
bench_medium_complex_query,zero_mysql_async,10,,,37723531.0,ns,190
bench_medium_complex_query,zero_mysql_async,10,,,39996944.0,ns,195
