group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async,1,,,1185992.0,ns,9
bench_trivial_query,diesel_async,1,,,2161649.0,ns,18
bench_trivial_query,diesel_async,1,,,3267486.0,ns,27
bench_trivial_query,diesel_async,1,,,4210563.0,ns,36
bench_trivial_query,diesel_async,1,,,5366553.0,ns,45
bench_trivial_query,diesel_async,1,,,5995453.0,ns,54
bench_trivial_query,diesel_async,1,,,6940268.0,ns,63
bench_trivial_query,diesel_async,1,,,8000107.0,ns,72
bench_trivial_query,diesel_async,1,,,8462708.0,ns,81
bench_trivial_query,diesel_async,1,,,10261966.0,ns,90
bench_trivial_query,diesel_async,1,,,9996331.0,ns,99
bench_trivial_query,diesel_async,1,,,12161197.0,ns,108
bench_trivial_query,diesel_async,1,,,12493101.0,ns,117
bench_trivial_query,diesel_async,1,,,14170965.0,ns,126
bench_trivial_query,diesel_async,1,,,15212801.0,ns,135
bench_trivial_query,diesel_async,1,,,16419514.0,ns,144
bench_trivial_query,diesel_async,1,,,17988264.0,ns,153
bench_trivial_query,diesel_async,1,,,17120486.0,ns,162
bench_trivial_query,diesel_async,1,,,19238620.0,ns,171
bench_trivial_query,diesel_async,1,,,21051205.0,ns,180
bench_trivial_query,diesel_async,1,,,19281938.0,ns,189
bench_trivial_query,diesel_async,1,,,22032330.0,ns,198
bench_trivial_query,diesel_async,1,,,22205964.0,ns,207
bench_trivial_query,diesel_async,1,,,25243217.0,ns,216
bench_trivial_query,diesel_async,1,,,25708097.0,ns,225
bench_trivial_query,diesel_async,1,,,26870902.0,ns,234
bench_trivial_query,diesel_async,1,,,27413899.0,ns,243
bench_trivial_query,diesel_async,1,,,28805555.0,ns,252
bench_trivial_query,diesel_async,1,,,30038586.0,ns,261
bench_trivial_query,diesel_async,1,,,30922842.0,ns,270
bench_trivial_query,diesel_async,1,,,28822828.0,ns,279
bench_trivial_query,diesel_async,1,,,30663546.0,ns,288
bench_trivial_query,diesel_async,1,,,33075188.0,ns,297
bench_trivial_query,diesel_async,1,,,34644181.0,ns,306
bench_trivial_query,diesel_async,1,,,34486666.0,ns,315
bench_trivial_query,diesel_async,1,,,36673755.0,ns,324
bench_trivial_query,diesel_async,1,,,36917554.0,ns,333
bench_trivial_query,diesel_async,1,,,39382837.0,ns,342
bench_trivial_query,diesel_async,1,,,41298424.0,ns,351
bench_trivial_query,diesel_async,1,,,40784257.0,ns,360
bench_trivial_query,diesel_async,1,,,42139664.0,ns,369
bench_trivial_query,diesel_async,1,,,42060027.0,ns,378
bench_trivial_query,diesel_async,1,,,43263067.0,ns,387
bench_trivial_query,diesel_async,1,,,46744666.0,ns,396
bench_trivial_query,diesel_async,1,,,43920811.0,ns,405
bench_trivial_query,diesel_async,1,,,47304638.0,ns,414
bench_trivial_query,diesel_async,1,,,46275991.0,ns,423
bench_trivial_query,diesel_async,1,,,44854105.0,ns,432
bench_trivial_query,diesel_async,1,,,48984084.0,ns,441
bench_trivial_query,diesel_async,1,,,51926239.0,ns,450
bench_trivial_query,diesel_async,1,,,53304531.0,ns,459
bench_trivial_query,diesel_async,1,,,53015984.0,ns,468
bench_trivial_query,diesel_async,1,,,52850157.0,ns,477
bench_trivial_query,diesel_async,1,,,55880685.0,ns,486
bench_trivial_query,diesel_async,1,,,58221907.0,ns,495
bench_trivial_query,diesel_async,1,,,60607567.0,ns,504
bench_trivial_query,diesel_async,1,,,56731322.0,ns,513
bench_trivial_query,diesel_async,1,,,55653036.0,ns,522
bench_trivial_query,diesel_async,1,,,60846661.0,ns,531
bench_trivial_query,diesel_async,1,,,61872825.0,ns,540
bench_trivial_query,diesel_async,1,,,62514593.0,ns,549
bench_trivial_query,diesel_async,1,,,62943455.0,ns,558
bench_trivial_query,diesel_async,1,,,66444596.0,ns,567
bench_trivial_query,diesel_async,1,,,67625242.0,ns,576
bench_trivial_query,diesel_async,1,,,68682574.0,ns,585
bench_trivial_query,diesel_async,1,,,66300362.0,ns,594
bench_trivial_query,diesel_async,1,,,69573964.0,ns,603
bench_trivial_query,diesel_async,1,,,66363021.0,ns,612
bench_trivial_query,diesel_async,1,,,70584824.0,ns,621
bench_trivial_query,diesel_async,1,,,65946537.0,ns,630
bench_trivial_query,diesel_async,1,,,71393322.0,ns,639
bench_trivial_query,diesel_async,1,,,75736109.0,ns,648
bench_trivial_query,diesel_async,1,,,75390696.0,ns,657
bench_trivial_query,diesel_async,1,,,77286602.0,ns,666
bench_trivial_query,diesel_async,1,,,74854917.0,ns,675
bench_trivial_query,diesel_async,1,,,77374142.0,ns,684
bench_trivial_query,diesel_async,1,,,72668376.0,ns,693
bench_trivial_query,diesel_async,1,,,81113470.0,ns,702
bench_trivial_query,diesel_async,1,,,82204768.0,ns,711
bench_trivial_query,diesel_async,1,,,85060970.0,ns,720
bench_trivial_query,diesel_async,1,,,79756286.0,ns,729
bench_trivial_query,diesel_async,1,,,85482683.0,ns,738
bench_trivial_query,diesel_async,1,,,83947579.0,ns,747
bench_trivial_query,diesel_async,1,,,86278332.0,ns,756
bench_trivial_query,diesel_async,1,,,87929202.0,ns,765
bench_trivial_query,diesel_async,1,,,86991438.0,ns,774
bench_trivial_query,diesel_async,1,,,88308486.0,ns,783
bench_trivial_query,diesel_async,1,,,92553547.0,ns,792
bench_trivial_query,diesel_async,1,,,89122471.0,ns,801
bench_trivial_query,diesel_async,1,,,91413624.0,ns,810
bench_trivial_query,diesel_async,1,,,96152451.0,ns,819
bench_trivial_query,diesel_async,1,,,86877623.0,ns,828
bench_trivial_query,diesel_async,1,,,96901945.0,ns,837
bench_trivial_query,diesel_async,1,,,90128547.0,ns,846
bench_trivial_query,diesel_async,1,,,95312406.0,ns,855
bench_trivial_query,diesel_async,1,,,93796106.0,ns,864
bench_trivial_query,diesel_async,1,,,101479730.0,ns,873
bench_trivial_query,diesel_async,1,,,98403688.0,ns,882
bench_trivial_query,diesel_async,1,,,97770074.0,ns,891
bench_trivial_query,diesel_async,1,,,99621926.0,ns,900
