group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,diesel,100,,,1023282.0,ns,38
bench_insert,diesel,100,,,1915948.0,ns,76
bench_insert,diesel,100,,,2858539.0,ns,114
bench_insert,diesel,100,,,3836264.0,ns,152
bench_insert,diesel,100,,,4720947.0,ns,190
bench_insert,diesel,100,,,5709268.0,ns,228
bench_insert,diesel,100,,,6625879.0,ns,266
bench_insert,diesel,100,,,7546147.0,ns,304
bench_insert,diesel,100,,,8500776.0,ns,342
bench_insert,diesel,100,,,9460483.0,ns,380
bench_insert,diesel,100,,,10431978.0,ns,418
bench_insert,diesel,100,,,11352666.0,ns,456
bench_insert,diesel,100,,,12367806.0,ns,494
bench_insert,diesel,100,,,13234954.0,ns,532
bench_insert,diesel,100,,,14221852.0,ns,570
bench_insert,diesel,100,,,15161599.0,ns,608
bench_insert,diesel,100,,,16105912.0,ns,646
bench_insert,diesel,100,,,17082655.0,ns,684
bench_insert,diesel,100,,,17995171.0,ns,722
bench_insert,diesel,100,,,18954597.0,ns,760
bench_insert,diesel,100,,,19918861.0,ns,798
bench_insert,diesel,100,,,20966721.0,ns,836
bench_insert,diesel,100,,,21857143.0,ns,874
bench_insert,diesel,100,,,22829049.0,ns,912
bench_insert,diesel,100,,,23995868.0,ns,950
bench_insert,diesel,100,,,24714010.0,ns,988
bench_insert,diesel,100,,,25733868.0,ns,1026
bench_insert,diesel,100,,,26792094.0,ns,1064
bench_insert,diesel,100,,,27825262.0,ns,1102
bench_insert,diesel,100,,,28650966.0,ns,1140
bench_insert,diesel,100,,,29415770.0,ns,1178
bench_insert,diesel,100,,,30445942.0,ns,1216
bench_insert,diesel,100,,,31329474.0,ns,1254
bench_insert,diesel,100,,,32417305.0,ns,1292
bench_insert,diesel,100,,,33457463.0,ns,1330
bench_insert,diesel,100,,,34446774.0,ns,1368
bench_insert,diesel,100,,,35176494.0,ns,1406
bench_insert,diesel,100,,,36212086.0,ns,1444
bench_insert,diesel,100,,,37158473.0,ns,1482
bench_insert,diesel,100,,,38219232.0,ns,1520
bench_insert,diesel,100,,,39105428.0,ns,1558
bench_insert,diesel,100,,,40144574.0,ns,1596
bench_insert,diesel,100,,,40843258.0,ns,1634
bench_insert,diesel,100,,,41972311.0,ns,1672
bench_insert,diesel,100,,,42815952.0,ns,1710
bench_insert,diesel,100,,,43792565.0,ns,1748
bench_insert,diesel,100,,,45378295.0,ns,1786
bench_insert,diesel,100,,,46296090.0,ns,1824
bench_insert,diesel,100,,,48483767.0,ns,1862
bench_insert,diesel,100,,,48407522.0,ns,1900
bench_insert,diesel,100,,,49346068.0,ns,1938
bench_insert,diesel,100,,,50441178.0,ns,1976
bench_insert,diesel,100,,,51261385.0,ns,2014
bench_insert,diesel,100,,,52459271.0,ns,2052
bench_insert,diesel,100,,,53406089.0,ns,2090
bench_insert,diesel,100,,,54273978.0,ns,2128
bench_insert,diesel,100,,,55324911.0,ns,2166
bench_insert,diesel,100,,,56428005.0,ns,2204
bench_insert,diesel,100,,,57438078.0,ns,2242
bench_insert,diesel,100,,,58572007.0,ns,2280
bench_insert,diesel,100,,,59530102.0,ns,2318
bench_insert,diesel,100,,,60152741.0,ns,2356
bench_insert,diesel,100,,,61695787.0,ns,2394
bench_insert,diesel,100,,,62128259.0,ns,2432
bench_insert,diesel,100,,,63482271.0,ns,2470
bench_insert,diesel,100,,,64206282.0,ns,2508
bench_insert,diesel,100,,,64575789.0,ns,2546
bench_insert,diesel,100,,,65500733.0,ns,2584
bench_insert,diesel,100,,,66532559.0,ns,2622
bench_insert,diesel,100,,,67487849.0,ns,2660
bench_insert,diesel,100,,,68725215.0,ns,2698
bench_insert,diesel,100,,,69462066.0,ns,2736
bench_insert,diesel,100,,,70474332.0,ns,2774
bench_insert,diesel,100,,,71580380.0,ns,2812
bench_insert,diesel,100,,,72401147.0,ns,2850
bench_insert,diesel,100,,,73409127.0,ns,2888
bench_insert,diesel,100,,,74359770.0,ns,2926
bench_insert,diesel,100,,,75400700.0,ns,2964
bench_insert,diesel,100,,,76215738.0,ns,3002
bench_insert,diesel,100,,,77301466.0,ns,3040
bench_insert,diesel,100,,,78087781.0,ns,3078
bench_insert,diesel,100,,,79237945.0,ns,3116
bench_insert,diesel,100,,,80656824.0,ns,3154
bench_insert,diesel,100,,,81758695.0,ns,3192
bench_insert,diesel,100,,,83015350.0,ns,3230
bench_insert,diesel,100,,,83740222.0,ns,3268
bench_insert,diesel,100,,,84616023.0,ns,3306
bench_insert,diesel,100,,,85711745.0,ns,3344
bench_insert,diesel,100,,,86529382.0,ns,3382
bench_insert,diesel,100,,,87995338.0,ns,3420
bench_insert,diesel,100,,,88360278.0,ns,3458
bench_insert,diesel,100,,,89808712.0,ns,3496
bench_insert,diesel,100,,,91989891.0,ns,3534
bench_insert,diesel,100,,,92729085.0,ns,3572
bench_insert,diesel,100,,,93663383.0,ns,3610
bench_insert,diesel,100,,,94022505.0,ns,3648
bench_insert,diesel,100,,,94891746.0,ns,3686
bench_insert,diesel,100,,,97080296.0,ns,3724
bench_insert,diesel,100,,,96496455.0,ns,3762
bench_insert,diesel,100,,,97409872.0,ns,3800
