group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,postgres_by_name,10000,,,44137373.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,46846390.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,41085488.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37751378.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,42948858.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,45969638.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37966882.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38430948.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37729007.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37781996.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37809352.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37850132.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38232396.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37991750.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37854692.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38051617.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38040093.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37833243.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38079740.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37765791.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38130136.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,44137188.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37878923.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38553848.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38026359.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37744800.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,46481646.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38073953.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38121805.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37789001.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37890763.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,46124431.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,45010890.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38024350.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,45045446.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,45521185.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37897994.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38182252.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37796225.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,47483546.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38067233.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38142989.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,38298828.0,ns,8
bench_trivial_query,postgres_by_name,10000,,,37889256.0,ns,8
