group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,1714664.0,ns,3
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,3102151.0,ns,6
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,3909302.0,ns,9
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,4897333.0,ns,12
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,6618377.0,ns,15
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,7988678.0,ns,18
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,9192956.0,ns,21
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,9812958.0,ns,24
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,11715841.0,ns,27
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,13007334.0,ns,30
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,13348060.0,ns,33
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,15413295.0,ns,36
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,15405582.0,ns,39
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,17373326.0,ns,42
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,18698020.0,ns,45
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,19833047.0,ns,48
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,21774596.0,ns,51
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,22964726.0,ns,54
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,23857784.0,ns,57
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,24870835.0,ns,60
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,26774085.0,ns,63
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,28252891.0,ns,66
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,28010850.0,ns,69
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,30369563.0,ns,72
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,30883999.0,ns,75
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,31919273.0,ns,78
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,33717281.0,ns,81
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,32872564.0,ns,84
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,36954635.0,ns,87
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,36696734.0,ns,90
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,37598881.0,ns,93
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,38452946.0,ns,96
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,41738006.0,ns,99
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,43063507.0,ns,102
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,42762227.0,ns,105
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,45240296.0,ns,108
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,45407297.0,ns,111
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,46539743.0,ns,114
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,49030338.0,ns,117
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,48911571.0,ns,120
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,50408677.0,ns,123
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,51298576.0,ns,126
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,54003617.0,ns,129
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,53693490.0,ns,132
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,52811940.0,ns,135
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,55917498.0,ns,138
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,56512810.0,ns,141
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,56807959.0,ns,144
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,60127391.0,ns,147
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,59425779.0,ns,150
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,61282027.0,ns,153
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,62538762.0,ns,156
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,67153786.0,ns,159
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,67732428.0,ns,162
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,65976309.0,ns,165
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,68762558.0,ns,168
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,68002161.0,ns,171
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,70160270.0,ns,174
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,73342742.0,ns,177
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,73695463.0,ns,180
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,71627188.0,ns,183
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,73546181.0,ns,186
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,78334501.0,ns,189
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,78601690.0,ns,192
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,83952982.0,ns,195
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,81731273.0,ns,198
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,83442348.0,ns,201
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,83561381.0,ns,204
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,86075905.0,ns,207
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,81885151.0,ns,210
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,88751219.0,ns,213
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,85682809.0,ns,216
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,88343345.0,ns,219
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,96374540.0,ns,222
bench_medium_complex_query,diesel_async_queryable_by_name,100,,,91767127.0,ns,225
