group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,mysql_by_id,1000,,,1491082.0,ns,2
bench_trivial_query,mysql_by_id,1000,,,2873771.0,ns,4
bench_trivial_query,mysql_by_id,1000,,,4516621.0,ns,6
bench_trivial_query,mysql_by_id,1000,,,6039889.0,ns,8
bench_trivial_query,mysql_by_id,1000,,,6997973.0,ns,10
bench_trivial_query,mysql_by_id,1000,,,8235758.0,ns,12
bench_trivial_query,mysql_by_id,1000,,,10805148.0,ns,14
bench_trivial_query,mysql_by_id,1000,,,10979399.0,ns,16
bench_trivial_query,mysql_by_id,1000,,,12896749.0,ns,18
bench_trivial_query,mysql_by_id,1000,,,13936046.0,ns,20
bench_trivial_query,mysql_by_id,1000,,,15287765.0,ns,22
bench_trivial_query,mysql_by_id,1000,,,16573055.0,ns,24
bench_trivial_query,mysql_by_id,1000,,,19168584.0,ns,26
bench_trivial_query,mysql_by_id,1000,,,19010208.0,ns,28
bench_trivial_query,mysql_by_id,1000,,,20412755.0,ns,30
bench_trivial_query,mysql_by_id,1000,,,23445301.0,ns,32
bench_trivial_query,mysql_by_id,1000,,,24756377.0,ns,34
bench_trivial_query,mysql_by_id,1000,,,26115502.0,ns,36
bench_trivial_query,mysql_by_id,1000,,,27998844.0,ns,38
bench_trivial_query,mysql_by_id,1000,,,31682887.0,ns,40
bench_trivial_query,mysql_by_id,1000,,,27969210.0,ns,42
bench_trivial_query,mysql_by_id,1000,,,29861509.0,ns,44
bench_trivial_query,mysql_by_id,1000,,,31709182.0,ns,46
bench_trivial_query,mysql_by_id,1000,,,34709742.0,ns,48
bench_trivial_query,mysql_by_id,1000,,,36003450.0,ns,50
bench_trivial_query,mysql_by_id,1000,,,34860134.0,ns,52
bench_trivial_query,mysql_by_id,1000,,,37002890.0,ns,54
bench_trivial_query,mysql_by_id,1000,,,38661620.0,ns,56
bench_trivial_query,mysql_by_id,1000,,,39086913.0,ns,58
bench_trivial_query,mysql_by_id,1000,,,40652677.0,ns,60
bench_trivial_query,mysql_by_id,1000,,,43389159.0,ns,62
bench_trivial_query,mysql_by_id,1000,,,43857278.0,ns,64
bench_trivial_query,mysql_by_id,1000,,,45818252.0,ns,66
bench_trivial_query,mysql_by_id,1000,,,49433318.0,ns,68
bench_trivial_query,mysql_by_id,1000,,,49255138.0,ns,70
bench_trivial_query,mysql_by_id,1000,,,48627730.0,ns,72
bench_trivial_query,mysql_by_id,1000,,,51799575.0,ns,74
bench_trivial_query,mysql_by_id,1000,,,54004384.0,ns,76
bench_trivial_query,mysql_by_id,1000,,,56267027.0,ns,78
bench_trivial_query,mysql_by_id,1000,,,56146164.0,ns,80
bench_trivial_query,mysql_by_id,1000,,,58097091.0,ns,82
bench_trivial_query,mysql_by_id,1000,,,58659507.0,ns,84
bench_trivial_query,mysql_by_id,1000,,,62805509.0,ns,86
bench_trivial_query,mysql_by_id,1000,,,65532978.0,ns,88
bench_trivial_query,mysql_by_id,1000,,,61082504.0,ns,90
bench_trivial_query,mysql_by_id,1000,,,62691764.0,ns,92
bench_trivial_query,mysql_by_id,1000,,,64567689.0,ns,94
