group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,postgres_by_name,1000,,,1298211.0,ns,2
bench_trivial_query,postgres_by_name,1000,,,2157754.0,ns,4
bench_trivial_query,postgres_by_name,1000,,,3175011.0,ns,6
bench_trivial_query,postgres_by_name,1000,,,4275463.0,ns,8
bench_trivial_query,postgres_by_name,1000,,,6335675.0,ns,10
bench_trivial_query,postgres_by_name,1000,,,6320036.0,ns,12
bench_trivial_query,postgres_by_name,1000,,,7317717.0,ns,14
bench_trivial_query,postgres_by_name,1000,,,8683835.0,ns,16
bench_trivial_query,postgres_by_name,1000,,,9597919.0,ns,18
bench_trivial_query,postgres_by_name,1000,,,10759795.0,ns,20
bench_trivial_query,postgres_by_name,1000,,,11781340.0,ns,22
bench_trivial_query,postgres_by_name,1000,,,12618602.0,ns,24
bench_trivial_query,postgres_by_name,1000,,,16487366.0,ns,26
bench_trivial_query,postgres_by_name,1000,,,14845604.0,ns,28
bench_trivial_query,postgres_by_name,1000,,,19108113.0,ns,30
bench_trivial_query,postgres_by_name,1000,,,16906368.0,ns,32
bench_trivial_query,postgres_by_name,1000,,,21349363.0,ns,34
bench_trivial_query,postgres_by_name,1000,,,19047690.0,ns,36
bench_trivial_query,postgres_by_name,1000,,,24203286.0,ns,38
bench_trivial_query,postgres_by_name,1000,,,21303248.0,ns,40
bench_trivial_query,postgres_by_name,1000,,,26731300.0,ns,42
bench_trivial_query,postgres_by_name,1000,,,23507438.0,ns,44
bench_trivial_query,postgres_by_name,1000,,,29508690.0,ns,46
bench_trivial_query,postgres_by_name,1000,,,26146480.0,ns,48
bench_trivial_query,postgres_by_name,1000,,,27160490.0,ns,50
bench_trivial_query,postgres_by_name,1000,,,28066260.0,ns,52
bench_trivial_query,postgres_by_name,1000,,,29010681.0,ns,54
bench_trivial_query,postgres_by_name,1000,,,29785736.0,ns,56
bench_trivial_query,postgres_by_name,1000,,,30898000.0,ns,58
bench_trivial_query,postgres_by_name,1000,,,32082419.0,ns,60
bench_trivial_query,postgres_by_name,1000,,,39141871.0,ns,62
bench_trivial_query,postgres_by_name,1000,,,40378550.0,ns,64
bench_trivial_query,postgres_by_name,1000,,,35414974.0,ns,66
bench_trivial_query,postgres_by_name,1000,,,43776977.0,ns,68
bench_trivial_query,postgres_by_name,1000,,,37679336.0,ns,70
bench_trivial_query,postgres_by_name,1000,,,38404789.0,ns,72
bench_trivial_query,postgres_by_name,1000,,,40639287.0,ns,74
bench_trivial_query,postgres_by_name,1000,,,46993044.0,ns,76
bench_trivial_query,postgres_by_name,1000,,,41877405.0,ns,78
bench_trivial_query,postgres_by_name,1000,,,43291222.0,ns,80
bench_trivial_query,postgres_by_name,1000,,,44520373.0,ns,82
bench_trivial_query,postgres_by_name,1000,,,44666266.0,ns,84
bench_trivial_query,postgres_by_name,1000,,,50201019.0,ns,86
bench_trivial_query,postgres_by_name,1000,,,52103284.0,ns,88
bench_trivial_query,postgres_by_name,1000,,,47906769.0,ns,90
bench_trivial_query,postgres_by_name,1000,,,55172929.0,ns,92
bench_trivial_query,postgres_by_name,1000,,,56444964.0,ns,94
bench_trivial_query,postgres_by_name,1000,,,58937821.0,ns,96
bench_trivial_query,postgres_by_name,1000,,,56218960.0,ns,98
bench_trivial_query,postgres_by_name,1000,,,53191003.0,ns,100
bench_trivial_query,postgres_by_name,1000,,,54639074.0,ns,102
bench_trivial_query,postgres_by_name,1000,,,55510439.0,ns,104
bench_trivial_query,postgres_by_name,1000,,,56992012.0,ns,106
bench_trivial_query,postgres_by_name,1000,,,58387023.0,ns,108
bench_trivial_query,postgres_by_name,1000,,,59848168.0,ns,110
bench_trivial_query,postgres_by_name,1000,,,69484698.0,ns,112
bench_trivial_query,postgres_by_name,1000,,,65319422.0,ns,114
bench_trivial_query,postgres_by_name,1000,,,66605980.0,ns,116
bench_trivial_query,postgres_by_name,1000,,,70456341.0,ns,118
bench_trivial_query,postgres_by_name,1000,,,69775370.0,ns,120
bench_trivial_query,postgres_by_name,1000,,,64866536.0,ns,122
bench_trivial_query,postgres_by_name,1000,,,68812142.0,ns,124
bench_trivial_query,postgres_by_name,1000,,,66863591.0,ns,126
bench_trivial_query,postgres_by_name,1000,,,68510762.0,ns,128
bench_trivial_query,postgres_by_name,1000,,,75008700.0,ns,130
bench_trivial_query,postgres_by_name,1000,,,72764785.0,ns,132
bench_trivial_query,postgres_by_name,1000,,,72628783.0,ns,134
bench_trivial_query,postgres_by_name,1000,,,76328512.0,ns,136
bench_trivial_query,postgres_by_name,1000,,,74293858.0,ns,138
bench_trivial_query,postgres_by_name,1000,,,77464190.0,ns,140
bench_trivial_query,postgres_by_name,1000,,,75316675.0,ns,142
bench_trivial_query,postgres_by_name,1000,,,83335940.0,ns,144
bench_trivial_query,postgres_by_name,1000,,,83915591.0,ns,146
bench_trivial_query,postgres_by_name,1000,,,85679242.0,ns,148
bench_trivial_query,postgres_by_name,1000,,,86931645.0,ns,150
bench_trivial_query,postgres_by_name,1000,,,82814826.0,ns,152
bench_trivial_query,postgres_by_name,1000,,,88018872.0,ns,154
bench_trivial_query,postgres_by_name,1000,,,89450846.0,ns,156
bench_trivial_query,postgres_by_name,1000,,,84875221.0,ns,158
bench_trivial_query,postgres_by_name,1000,,,93188300.0,ns,160
bench_trivial_query,postgres_by_name,1000,,,94872794.0,ns,162
bench_trivial_query,postgres_by_name,1000,,,94584134.0,ns,164
bench_trivial_query,postgres_by_name,1000,,,93180800.0,ns,166
bench_trivial_query,postgres_by_name,1000,,,90047005.0,ns,168
bench_trivial_query,postgres_by_name,1000,,,92568667.0,ns,170
bench_trivial_query,postgres_by_name,1000,,,100839461.0,ns,172
bench_trivial_query,postgres_by_name,1000,,,92814745.0,ns,174
bench_trivial_query,postgres_by_name,1000,,,98469690.0,ns,176
bench_trivial_query,postgres_by_name,1000,,,99081653.0,ns,178
bench_trivial_query,postgres_by_name,1000,,,95998634.0,ns,180
bench_trivial_query,postgres_by_name,1000,,,96784559.0,ns,182
bench_trivial_query,postgres_by_name,1000,,,104255631.0,ns,184
bench_trivial_query,postgres_by_name,1000,,,100742570.0,ns,186
bench_trivial_query,postgres_by_name,1000,,,100239132.0,ns,188
bench_trivial_query,postgres_by_name,1000,,,107888210.0,ns,190
bench_trivial_query,postgres_by_name,1000,,,107574023.0,ns,192
bench_trivial_query,postgres_by_name,1000,,,108039871.0,ns,194
bench_trivial_query,postgres_by_name,1000,,,105668464.0,ns,196
bench_trivial_query,postgres_by_name,1000,,,114136519.0,ns,198
bench_trivial_query,postgres_by_name,1000,,,112407965.0,ns,200
