group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,1,,,1281408.0,ns,7
bench_trivial_query,diesel_async_queryable_by_name,1,,,2151861.0,ns,14
bench_trivial_query,diesel_async_queryable_by_name,1,,,3094903.0,ns,21
bench_trivial_query,diesel_async_queryable_by_name,1,,,4725397.0,ns,28
bench_trivial_query,diesel_async_queryable_by_name,1,,,5507094.0,ns,35
bench_trivial_query,diesel_async_queryable_by_name,1,,,10326797.0,ns,42
bench_trivial_query,diesel_async_queryable_by_name,1,,,7738444.0,ns,49
bench_trivial_query,diesel_async_queryable_by_name,1,,,8578478.0,ns,56
bench_trivial_query,diesel_async_queryable_by_name,1,,,9961365.0,ns,63
bench_trivial_query,diesel_async_queryable_by_name,1,,,11385760.0,ns,70
bench_trivial_query,diesel_async_queryable_by_name,1,,,12187045.0,ns,77
bench_trivial_query,diesel_async_queryable_by_name,1,,,13465108.0,ns,84
bench_trivial_query,diesel_async_queryable_by_name,1,,,13932847.0,ns,91
bench_trivial_query,diesel_async_queryable_by_name,1,,,15836079.0,ns,98
bench_trivial_query,diesel_async_queryable_by_name,1,,,17675283.0,ns,105
bench_trivial_query,diesel_async_queryable_by_name,1,,,18867803.0,ns,112
bench_trivial_query,diesel_async_queryable_by_name,1,,,16987259.0,ns,119
bench_trivial_query,diesel_async_queryable_by_name,1,,,20763640.0,ns,126
bench_trivial_query,diesel_async_queryable_by_name,1,,,19638760.0,ns,133
bench_trivial_query,diesel_async_queryable_by_name,1,,,22213413.0,ns,140
bench_trivial_query,diesel_async_queryable_by_name,1,,,24786092.0,ns,147
bench_trivial_query,diesel_async_queryable_by_name,1,,,22318393.0,ns,154
bench_trivial_query,diesel_async_queryable_by_name,1,,,24427701.0,ns,161
bench_trivial_query,diesel_async_queryable_by_name,1,,,24395924.0,ns,168
bench_trivial_query,diesel_async_queryable_by_name,1,,,27582403.0,ns,175
