group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,zero_postgres_by_name,10,,,816674.0,ns,15
bench_trivial_query,zero_postgres_by_name,10,,,1520407.0,ns,30
bench_trivial_query,zero_postgres_by_name,10,,,2294191.0,ns,45
bench_trivial_query,zero_postgres_by_name,10,,,3360521.0,ns,60
bench_trivial_query,zero_postgres_by_name,10,,,5461140.0,ns,75
bench_trivial_query,zero_postgres_by_name,10,,,5093995.0,ns,90
bench_trivial_query,zero_postgres_by_name,10,,,7659121.0,ns,105
bench_trivial_query,zero_postgres_by_name,10,,,6317467.0,ns,120
bench_trivial_query,zero_postgres_by_name,10,,,7097820.0,ns,135
bench_trivial_query,zero_postgres_by_name,10,,,10126604.0,ns,150
bench_trivial_query,zero_postgres_by_name,10,,,9646316.0,ns,165
bench_trivial_query,zero_postgres_by_name,10,,,13268716.0,ns,180
bench_trivial_query,zero_postgres_by_name,10,,,10651343.0,ns,195
bench_trivial_query,zero_postgres_by_name,10,,,15687520.0,ns,210
bench_trivial_query,zero_postgres_by_name,10,,,12762161.0,ns,225
bench_trivial_query,zero_postgres_by_name,10,,,18229673.0,ns,240
bench_trivial_query,zero_postgres_by_name,10,,,17128257.0,ns,255
bench_trivial_query,zero_postgres_by_name,10,,,15737102.0,ns,270
bench_trivial_query,zero_postgres_by_name,10,,,17640496.0,ns,285
bench_trivial_query,zero_postgres_by_name,10,,,16899501.0,ns,300
bench_trivial_query,zero_postgres_by_name,10,,,18667953.0,ns,315
bench_trivial_query,zero_postgres_by_name,10,,,18614792.0,ns,330
bench_trivial_query,zero_postgres_by_name,10,,,26334835.0,ns,345
bench_trivial_query,zero_postgres_by_name,10,,,20653145.0,ns,360
bench_trivial_query,zero_postgres_by_name,10,,,21462104.0,ns,375
bench_trivial_query,zero_postgres_by_name,10,,,23169748.0,ns,390
bench_trivial_query,zero_postgres_by_name,10,,,23808565.0,ns,405
bench_trivial_query,zero_postgres_by_name,10,,,21321080.0,ns,420
bench_trivial_query,zero_postgres_by_name,10,,,21496467.0,ns,435
bench_trivial_query,zero_postgres_by_name,10,,,32151458.0,ns,450
bench_trivial_query,zero_postgres_by_name,10,,,31693353.0,ns,465
bench_trivial_query,zero_postgres_by_name,10,,,27714970.0,ns,480
bench_trivial_query,zero_postgres_by_name,10,,,27008933.0,ns,495
bench_trivial_query,zero_postgres_by_name,10,,,39277694.0,ns,510
