group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,50050080.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,65419620.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49321379.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,52084288.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57505077.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48958483.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49754804.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,50561352.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,55311129.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49563264.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,52709116.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,50820900.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49616724.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57884172.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,67266696.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48271823.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57879029.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48634957.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,47865840.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48607906.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,67191845.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48870467.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48388803.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48066527.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48269749.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66784319.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48410645.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,63536587.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48722682.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,65627765.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66850923.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,62414757.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,61751278.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,65857462.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48050377.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,47754246.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66905677.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48079338.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49535220.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,63556874.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48243681.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,66758237.0,ns,9
