group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async,1,,,1420404.0,ns,10
bench_medium_complex_query,diesel_async,1,,,2530621.0,ns,20
bench_medium_complex_query,diesel_async,1,,,3349324.0,ns,30
bench_medium_complex_query,diesel_async,1,,,4772317.0,ns,40
bench_medium_complex_query,diesel_async,1,,,6006760.0,ns,50
bench_medium_complex_query,diesel_async,1,,,5945789.0,ns,60
bench_medium_complex_query,diesel_async,1,,,8119579.0,ns,70
bench_medium_complex_query,diesel_async,1,,,8463577.0,ns,80
bench_medium_complex_query,diesel_async,1,,,9321407.0,ns,90
bench_medium_complex_query,diesel_async,1,,,11133808.0,ns,100
bench_medium_complex_query,diesel_async,1,,,10932414.0,ns,110
bench_medium_complex_query,diesel_async,1,,,11503363.0,ns,120
bench_medium_complex_query,diesel_async,1,,,16714808.0,ns,130
bench_medium_complex_query,diesel_async,1,,,14687224.0,ns,140
bench_medium_complex_query,diesel_async,1,,,14683033.0,ns,150
bench_medium_complex_query,diesel_async,1,,,17328697.0,ns,160
bench_medium_complex_query,diesel_async,1,,,17587758.0,ns,170
bench_medium_complex_query,diesel_async,1,,,19428679.0,ns,180
bench_medium_complex_query,diesel_async,1,,,19179960.0,ns,190
bench_medium_complex_query,diesel_async,1,,,21833516.0,ns,200
bench_medium_complex_query,diesel_async,1,,,20712719.0,ns,210
bench_medium_complex_query,diesel_async,1,,,22253714.0,ns,220
bench_medium_complex_query,diesel_async,1,,,23930930.0,ns,230
bench_medium_complex_query,diesel_async,1,,,24001431.0,ns,240
bench_medium_complex_query,diesel_async,1,,,29456161.0,ns,250
bench_medium_complex_query,diesel_async,1,,,27549209.0,ns,260
bench_medium_complex_query,diesel_async,1,,,28216529.0,ns,270
bench_medium_complex_query,diesel_async,1,,,27285767.0,ns,280
bench_medium_complex_query,diesel_async,1,,,32464551.0,ns,290
bench_medium_complex_query,diesel_async,1,,,28002366.0,ns,300
bench_medium_complex_query,diesel_async,1,,,28919503.0,ns,310
bench_medium_complex_query,diesel_async,1,,,30519146.0,ns,320
bench_medium_complex_query,diesel_async,1,,,31332747.0,ns,330
bench_medium_complex_query,diesel_async,1,,,37725830.0,ns,340
bench_medium_complex_query,diesel_async,1,,,34564594.0,ns,350
bench_medium_complex_query,diesel_async,1,,,38494637.0,ns,360
bench_medium_complex_query,diesel_async,1,,,40509507.0,ns,370
bench_medium_complex_query,diesel_async,1,,,33979121.0,ns,380
bench_medium_complex_query,diesel_async,1,,,41151520.0,ns,390
bench_medium_complex_query,diesel_async,1,,,39425895.0,ns,400
bench_medium_complex_query,diesel_async,1,,,41443984.0,ns,410
bench_medium_complex_query,diesel_async,1,,,41395792.0,ns,420
bench_medium_complex_query,diesel_async,1,,,44398058.0,ns,430
bench_medium_complex_query,diesel_async,1,,,45772724.0,ns,440
bench_medium_complex_query,diesel_async,1,,,40820876.0,ns,450
bench_medium_complex_query,diesel_async,1,,,46179802.0,ns,460
bench_medium_complex_query,diesel_async,1,,,47875114.0,ns,470
bench_medium_complex_query,diesel_async,1,,,47630011.0,ns,480
bench_medium_complex_query,diesel_async,1,,,44575029.0,ns,490
bench_medium_complex_query,diesel_async,1,,,52439683.0,ns,500
bench_medium_complex_query,diesel_async,1,,,55339692.0,ns,510
bench_medium_complex_query,diesel_async,1,,,51364360.0,ns,520
bench_medium_complex_query,diesel_async,1,,,63710147.0,ns,530
bench_medium_complex_query,diesel_async,1,,,56252651.0,ns,540
bench_medium_complex_query,diesel_async,1,,,59770805.0,ns,550
bench_medium_complex_query,diesel_async,1,,,54065037.0,ns,560
bench_medium_complex_query,diesel_async,1,,,60239310.0,ns,570
bench_medium_complex_query,diesel_async,1,,,61769379.0,ns,580
bench_medium_complex_query,diesel_async,1,,,65571571.0,ns,590
bench_medium_complex_query,diesel_async,1,,,66545998.0,ns,600
bench_medium_complex_query,diesel_async,1,,,59081932.0,ns,610
bench_medium_complex_query,diesel_async,1,,,65482601.0,ns,620
bench_medium_complex_query,diesel_async,1,,,70543138.0,ns,630
bench_medium_complex_query,diesel_async,1,,,60876069.0,ns,640
bench_medium_complex_query,diesel_async,1,,,63497912.0,ns,650
bench_medium_complex_query,diesel_async,1,,,71807947.0,ns,660
bench_medium_complex_query,diesel_async,1,,,70684616.0,ns,670
bench_medium_complex_query,diesel_async,1,,,72077123.0,ns,680
bench_medium_complex_query,diesel_async,1,,,70715688.0,ns,690
bench_medium_complex_query,diesel_async,1,,,67039131.0,ns,700
bench_medium_complex_query,diesel_async,1,,,75751281.0,ns,710
bench_medium_complex_query,diesel_async,1,,,76596083.0,ns,720
bench_medium_complex_query,diesel_async,1,,,72003147.0,ns,730
bench_medium_complex_query,diesel_async,1,,,76747030.0,ns,740
bench_medium_complex_query,diesel_async,1,,,82778879.0,ns,750
bench_medium_complex_query,diesel_async,1,,,75284797.0,ns,760
bench_medium_complex_query,diesel_async,1,,,79652130.0,ns,770
bench_medium_complex_query,diesel_async,1,,,81831288.0,ns,780
bench_medium_complex_query,diesel_async,1,,,77099362.0,ns,790
bench_medium_complex_query,diesel_async,1,,,79861426.0,ns,800
bench_medium_complex_query,diesel_async,1,,,87872337.0,ns,810
bench_medium_complex_query,diesel_async,1,,,82768750.0,ns,820
bench_medium_complex_query,diesel_async,1,,,81971815.0,ns,830
bench_medium_complex_query,diesel_async,1,,,82457532.0,ns,840
bench_medium_complex_query,diesel_async,1,,,84043300.0,ns,850
bench_medium_complex_query,diesel_async,1,,,94595652.0,ns,860
bench_medium_complex_query,diesel_async,1,,,90402255.0,ns,870
bench_medium_complex_query,diesel_async,1,,,93391478.0,ns,880
bench_medium_complex_query,diesel_async,1,,,96427996.0,ns,890
bench_medium_complex_query,diesel_async,1,,,92318443.0,ns,900
bench_medium_complex_query,diesel_async,1,,,86110643.0,ns,910
bench_medium_complex_query,diesel_async,1,,,100300002.0,ns,920
bench_medium_complex_query,diesel_async,1,,,88136569.0,ns,930
bench_medium_complex_query,diesel_async,1,,,102684664.0,ns,940
bench_medium_complex_query,diesel_async,1,,,99125093.0,ns,950
bench_medium_complex_query,diesel_async,1,,,95225050.0,ns,960
bench_medium_complex_query,diesel_async,1,,,102365126.0,ns,970
bench_medium_complex_query,diesel_async,1,,,101151069.0,ns,980
bench_medium_complex_query,diesel_async,1,,,99956740.0,ns,990
bench_medium_complex_query,diesel_async,1,,,97208367.0,ns,1000
