group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sea-orm,1,,,1437983.0,ns,5
bench_trivial_query,sea-orm,1,,,2408834.0,ns,10
bench_trivial_query,sea-orm,1,,,3455184.0,ns,15
bench_trivial_query,sea-orm,1,,,4779076.0,ns,20
bench_trivial_query,sea-orm,1,,,5737633.0,ns,25
bench_trivial_query,sea-orm,1,,,6857256.0,ns,30
bench_trivial_query,sea-orm,1,,,7866363.0,ns,35
bench_trivial_query,sea-orm,1,,,8646300.0,ns,40
bench_trivial_query,sea-orm,1,,,9800654.0,ns,45
bench_trivial_query,sea-orm,1,,,10863810.0,ns,50
bench_trivial_query,sea-orm,1,,,12054196.0,ns,55
bench_trivial_query,sea-orm,1,,,13569575.0,ns,60
bench_trivial_query,sea-orm,1,,,14169253.0,ns,65
bench_trivial_query,sea-orm,1,,,15382877.0,ns,70
bench_trivial_query,sea-orm,1,,,16884309.0,ns,75
bench_trivial_query,sea-orm,1,,,17857394.0,ns,80
bench_trivial_query,sea-orm,1,,,19408745.0,ns,85
bench_trivial_query,sea-orm,1,,,20173465.0,ns,90
bench_trivial_query,sea-orm,1,,,20793812.0,ns,95
bench_trivial_query,sea-orm,1,,,31059483.0,ns,100
bench_trivial_query,sea-orm,1,,,23764614.0,ns,105
bench_trivial_query,sea-orm,1,,,23518595.0,ns,110
bench_trivial_query,sea-orm,1,,,25035705.0,ns,115
bench_trivial_query,sea-orm,1,,,25923634.0,ns,120
bench_trivial_query,sea-orm,1,,,27476049.0,ns,125
bench_trivial_query,sea-orm,1,,,29170378.0,ns,130
bench_trivial_query,sea-orm,1,,,29955571.0,ns,135
bench_trivial_query,sea-orm,1,,,31370411.0,ns,140
bench_trivial_query,sea-orm,1,,,32283296.0,ns,145
bench_trivial_query,sea-orm,1,,,33425867.0,ns,150
bench_trivial_query,sea-orm,1,,,34259202.0,ns,155
bench_trivial_query,sea-orm,1,,,35294711.0,ns,160
bench_trivial_query,sea-orm,1,,,41141572.0,ns,165
bench_trivial_query,sea-orm,1,,,37453611.0,ns,170
bench_trivial_query,sea-orm,1,,,37978240.0,ns,175
bench_trivial_query,sea-orm,1,,,45167956.0,ns,180
bench_trivial_query,sea-orm,1,,,39008758.0,ns,185
bench_trivial_query,sea-orm,1,,,42198676.0,ns,190
bench_trivial_query,sea-orm,1,,,40148997.0,ns,195
bench_trivial_query,sea-orm,1,,,43911860.0,ns,200
bench_trivial_query,sea-orm,1,,,45134752.0,ns,205
bench_trivial_query,sea-orm,1,,,46879303.0,ns,210
bench_trivial_query,sea-orm,1,,,46371941.0,ns,215
bench_trivial_query,sea-orm,1,,,48885361.0,ns,220
bench_trivial_query,sea-orm,1,,,49071886.0,ns,225
bench_trivial_query,sea-orm,1,,,50217929.0,ns,230
bench_trivial_query,sea-orm,1,,,52898332.0,ns,235
bench_trivial_query,sea-orm,1,,,53405889.0,ns,240
bench_trivial_query,sea-orm,1,,,53481330.0,ns,245
bench_trivial_query,sea-orm,1,,,54066850.0,ns,250
bench_trivial_query,sea-orm,1,,,60267051.0,ns,255
bench_trivial_query,sea-orm,1,,,58396439.0,ns,260
bench_trivial_query,sea-orm,1,,,55749245.0,ns,265
bench_trivial_query,sea-orm,1,,,57695354.0,ns,270
bench_trivial_query,sea-orm,1,,,59240048.0,ns,275
bench_trivial_query,sea-orm,1,,,66568171.0,ns,280
bench_trivial_query,sea-orm,1,,,64063654.0,ns,285
