group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sqlx,100,,,1684076.0,ns,2
bench_insert,sqlx,100,,,2843686.0,ns,4
bench_insert,sqlx,100,,,3810260.0,ns,6
bench_insert,sqlx,100,,,4957312.0,ns,8
bench_insert,sqlx,100,,,5595699.0,ns,10
bench_insert,sqlx,100,,,7215101.0,ns,12
bench_insert,sqlx,100,,,8029381.0,ns,14
bench_insert,sqlx,100,,,9170769.0,ns,16
bench_insert,sqlx,100,,,9665437.0,ns,18
bench_insert,sqlx,100,,,11428227.0,ns,20
bench_insert,sqlx,100,,,11349751.0,ns,22
bench_insert,sqlx,100,,,13639178.0,ns,24
bench_insert,sqlx,100,,,13766421.0,ns,26
bench_insert,sqlx,100,,,15888199.0,ns,28
bench_insert,sqlx,100,,,16273566.0,ns,30
bench_insert,sqlx,100,,,17625549.0,ns,32
bench_insert,sqlx,100,,,18107666.0,ns,34
bench_insert,sqlx,100,,,19742230.0,ns,36
bench_insert,sqlx,100,,,19902206.0,ns,38
bench_insert,sqlx,100,,,22105004.0,ns,40
bench_insert,sqlx,100,,,21744429.0,ns,42
bench_insert,sqlx,100,,,24624038.0,ns,44
bench_insert,sqlx,100,,,23762825.0,ns,46
bench_insert,sqlx,100,,,26561215.0,ns,48
bench_insert,sqlx,100,,,25390687.0,ns,50
bench_insert,sqlx,100,,,28862578.0,ns,52
bench_insert,sqlx,100,,,27931079.0,ns,54
bench_insert,sqlx,100,,,30190612.0,ns,56
bench_insert,sqlx,100,,,31534983.0,ns,58
bench_insert,sqlx,100,,,30682980.0,ns,60
bench_insert,sqlx,100,,,33438311.0,ns,62
bench_insert,sqlx,100,,,33599491.0,ns,64
bench_insert,sqlx,100,,,36304889.0,ns,66
bench_insert,sqlx,100,,,34985791.0,ns,68
bench_insert,sqlx,100,,,39286052.0,ns,70
bench_insert,sqlx,100,,,36882574.0,ns,72
bench_insert,sqlx,100,,,40084821.0,ns,74
bench_insert,sqlx,100,,,38556822.0,ns,76
bench_insert,sqlx,100,,,40851193.0,ns,78
bench_insert,sqlx,100,,,40704568.0,ns,80
bench_insert,sqlx,100,,,44670359.0,ns,82
bench_insert,sqlx,100,,,43639692.0,ns,84
bench_insert,sqlx,100,,,43292239.0,ns,86
bench_insert,sqlx,100,,,44461706.0,ns,88
bench_insert,sqlx,100,,,45850153.0,ns,90
bench_insert,sqlx,100,,,46055974.0,ns,92
bench_insert,sqlx,100,,,51572551.0,ns,94
bench_insert,sqlx,100,,,47983288.0,ns,96
bench_insert,sqlx,100,,,53120555.0,ns,98
bench_insert,sqlx,100,,,49058298.0,ns,100
bench_insert,sqlx,100,,,55774050.0,ns,102
bench_insert,sqlx,100,,,51877659.0,ns,104
bench_insert,sqlx,100,,,58557695.0,ns,106
bench_insert,sqlx,100,,,53649084.0,ns,108
bench_insert,sqlx,100,,,54892143.0,ns,110
bench_insert,sqlx,100,,,57575121.0,ns,112
bench_insert,sqlx,100,,,57059703.0,ns,114
bench_insert,sqlx,100,,,64434695.0,ns,116
bench_insert,sqlx,100,,,64342696.0,ns,118
bench_insert,sqlx,100,,,63366000.0,ns,120
bench_insert,sqlx,100,,,63238712.0,ns,122
bench_insert,sqlx,100,,,63341746.0,ns,124
bench_insert,sqlx,100,,,72480445.0,ns,126
bench_insert,sqlx,100,,,65530877.0,ns,128
bench_insert,sqlx,100,,,68207822.0,ns,130
bench_insert,sqlx,100,,,71523476.0,ns,132
bench_insert,sqlx,100,,,68153732.0,ns,134
bench_insert,sqlx,100,,,73632476.0,ns,136
bench_insert,sqlx,100,,,68465226.0,ns,138
bench_insert,sqlx,100,,,75183379.0,ns,140
bench_insert,sqlx,100,,,72204248.0,ns,142
bench_insert,sqlx,100,,,78517039.0,ns,144
bench_insert,sqlx,100,,,73910090.0,ns,146
bench_insert,sqlx,100,,,76099953.0,ns,148
bench_insert,sqlx,100,,,81036457.0,ns,150
bench_insert,sqlx,100,,,79003766.0,ns,152
bench_insert,sqlx,100,,,78244408.0,ns,154
bench_insert,sqlx,100,,,78614124.0,ns,156
bench_insert,sqlx,100,,,86171438.0,ns,158
bench_insert,sqlx,100,,,84070227.0,ns,160
bench_insert,sqlx,100,,,87874364.0,ns,162
bench_insert,sqlx,100,,,84631172.0,ns,164
bench_insert,sqlx,100,,,86678512.0,ns,166
bench_insert,sqlx,100,,,85541370.0,ns,168
bench_insert,sqlx,100,,,87660378.0,ns,170
bench_insert,sqlx,100,,,92665974.0,ns,172
bench_insert,sqlx,100,,,86039003.0,ns,174
bench_insert,sqlx,100,,,89771396.0,ns,176
bench_insert,sqlx,100,,,90917089.0,ns,178
bench_insert,sqlx,100,,,95658241.0,ns,180
bench_insert,sqlx,100,,,92633478.0,ns,182
bench_insert,sqlx,100,,,92152151.0,ns,184
bench_insert,sqlx,100,,,93098774.0,ns,186
bench_insert,sqlx,100,,,99404820.0,ns,188
bench_insert,sqlx,100,,,100629333.0,ns,190
bench_insert,sqlx,100,,,96373901.0,ns,192
bench_insert,sqlx,100,,,102078198.0,ns,194
bench_insert,sqlx,100,,,102330149.0,ns,196
bench_insert,sqlx,100,,,102559765.0,ns,198
bench_insert,sqlx,100,,,98924143.0,ns,200
